,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Tim McGraw,"You always had an eye for things that glittered
But I was far from being made of gold
I don't know how but I scraped up the money
I just never could quite tell you no

Just like when you were leaving Amarillo
Takin' that new job in Tennessee
And I quit mine so we could be together
I can't forget the way you looked at me

Just to see you smile
I'd do anything that you wanted me to
When all is said and done
I'd never count the cost
It's worth all that's lost
Just to see you smile

When you said time was all you really needed
I walked away and let you have your space
'Cause leavin' didn't hurt me near as badly
As the tears I saw rollin' down your face

And yesterday I knew just what you wanted
When you came walkin' up to me with him
So I told you that I was happy for you
And given the chance I'd lie again

Just to see you smile
I'd do anything that you wanted me to
When all is said and done
I'd never count the cost
It's worth all that's lost
Just to see you smile

Just to see you smile
I'd do anything that you wanted me to
When all is said and done
I'd never count the cost
It's worth all that's lost
Just to see you smile",Just To See You Smile,One Of These Days / Just To See You Smile,1998,2,3:34,Track 'B',Single,True
1,2,Faith Hill,"I don't want another heartbreak
I don't need another turn to cry
No, I don't want to learn the hard way
Baby, 'Hello' Oh no, 'Goodbye'
But you got me like a rocket 
Shootin' straight across the sky

It's the way you love me
It's a feelin' like this
It's centrifugal motion
It's perpetual bliss
It's that pivotal moment
It's, ah, impossible
This kiss, this kiss
Unstoppable
This kiss, this kiss

Cinderella said to Snow White
'How does love get so off course?
Oh, all I wanted was a white knight 
With a good heart, soft touch, fast horse'
Ride me off into the sunset
Baby. I'm forever yours

It's the way you love me
It's a feelin' like this
It's centrifugal motion
It's perpetual bliss
It's that pivotal moment
It's, ah, unthinkable
This kiss, this kiss
Unsinkable
This kiss, this kiss

You can kiss me in the moonlight
On a rooftop under the sky
Oh, you can kiss me with the windows open 
While the rain comes pouring inside.
Oh, kiss me in sweet slow motion
Let's let everything slide
You've got me floating, you've got me flying

It's the way you love me
It's a feelin' like this
It's centrifugal motion
It's perpetual bliss
It's that pivotal moment
It's, ah, subliminal
This kiss, this kiss
It's criminal
This kiss, this kiss

It's the way you love me baby
It's the way you love me darling, yeah

It's the way you love me
It's a feelin' like this
It's centrifugal motion
It's perpetual bliss
It's that pivotal moment
It's, ah, subliminal
This kiss, this kiss
It's criminal
This kiss, this kiss

It's the way you love me baby
It's the way you love me darling, yeah",This Kiss (Mr. Mig Mix),This Kiss,1998,3,3:47,Track '3',Maxi-Single,True
2,3,Mark Chesnutt,"I could stay awake just to hear you breathing
Watch you smile while you're sleeping
While you're far away and dreaming
I could spend my life in this sweet surrender
I could stay lost in this moment forever
Well, every moment spent with you is a moment I treasure

I don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you
And I don't wanna miss a thing

Lying close to you, feeling your heart beating
And I'm wondering what you're dreaming
Wondering if it's me you're seeing
And then I kiss your eyes, and thank God we're together
For the first time but the sooner and the better
I just wanna stay with you in this moment forever

I don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you
And I don't wanna miss a thing

I don't wanna miss one smile
I don't wanna miss one kiss
Well, I just wanna be with you, right here with you
Just like this
I just wanna hold you close
Feel your heart so close to mine
And just stay here in this moment
For all the rest of time

I don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you, baby
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you
And I don't wanna miss a thing

I'd still miss you, baby

I don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, baby
And I don't wanna miss a thing
(Fade)",I Don't Want To Miss A Thing,I Don't Want To Miss A Thing,1999,10,4:06,Track '1',Album,True
3,4,Dixie Chicks,"Who doesn't know what I'm talking about?
Who's never left home? Who's never struck out
To find a dream and a life of their own?
A place in the clouds, a foundation of stone

Many precede and many will follow
A young girl's dreams no longer hollow
It takes the shape of a place out west
But what it holds for her, she hasn't yet guessed

She needs wide open spaces
Room to make her big mistakes
She needs new faces
She knows the highest stakes

She traveled this road as a child
Wide-eyed and grinning, she never tired
But now she won't be coming back with the rest
If these are life's lessons, she'll take this test

She needs wide open spaces
Room to make her big mistakes
She needs new faces
She knows the highest stakes
She knows the highest stakes

As her folks drive away, her dad yells, ""check the oil""
Mom stares out the window and says, ""I'm leaving my girl""
She said it didn't seem like a-that long ago
When she stood there and let her own folks know 

She needed wide open spaces
Room to make her big mistakes
She needs new faces
She knows the highest stakes
She knows the highest stakes
She knows the highest stakes
(Wide open spaces)
She knows the highest stakes
She knows the highest stakes
(Wide open spaces)",Wide Open Spaces,Wide Open Spaces,1998,12,3:44,Track '2',Album,True
4,5,Jo Dee Messina,"He left me cryin' late one Sunday night
Outside of Boulder
He said he had to find himself
Out on the road
I guess when love goes wrong
You've gotta learn to be strong
So I worked two jobs and I moved three times
I ended up south of Memphis
Workin' down in Riverside
I may not be so lucky in love
But the one thing I'm sure of

I want a man that stands beside me
Not in front of or behind me
Give me two arms that wanna hold me
Not own me
And I'll give all the love in my heart
Stand beside me
Be true
Don't tell lies to me
I'm not lookin' for a fantasy
I want a man who stands beside me

I didn't expect to see him
One hot July mornin'
His hair was longer but his eyes
Were the same old blue
He said, I've missed you for so long
Oh baby, what can I do?

I said, I want a man that stands beside me
Not in front of or behind me
Give me two arms that wanna hold me
Not own me
And I'll give all the love in my heart

It's hard to tell him no when I want him so bad
But I've got to be true to my heart
This time

I'm not lookin' for a fantasy
I want a man who stands beside me
I want a man
Who stands beside me
Stand beside me
Stand beside me
Oh oh",Stand Beside Me,I'm Alright,1998,10,3:41,Track '2',Album,True
5,6, Sara Evans & Vince Gill,"I can't imagine any greater fear
Than waking up without you here
And though the sun would still shine on
My whole world would all be gone
But not for long

If I had to run
If I had to crawl
If I had to swim a hundred rivers
Just to climb a thousand walls
Always know that I would find a way
To get to where you are
There's no place that far

It wouldn't matter why we're apart
Lonely miles or two stubborn hearts
Nothing short of God above
Could turn me away from your love
I need you that much

If I had to run
If I had to crawl
If I had to swim a hundred rivers
Just to climb a thousand walls
Always know that I would find a way
To get to where you are
There's no place that far

Oh, if I had to run (If I had to run)
If I had to crawl (If I had to crawl)
If I had to swim a hundred rivers
Just to climb a thousand walls
Always know that I would find a way
To get to where you are
There's no place that far
Baby, there's no place that far",No Place That Far,No Place That Far,1998,11,3:37,Track '3',Album,True
6,7,Diamond Rio,"She's so kissable, huggable, lovable, unbelievable
She's a mouthful of anything and everything a man could want
She ain't typical, she's unpredictable, she's available, it's a miracle
How my heart stumbled into someone so kissable, huggable, lovable,
Unbelievable

Up till now my life has been so lonely and boring
I never thought I would find someone so

Elegant, intelligent, heaven sent, all my money spent
I put a big down payment on that itty bitty diamond ring
She's so beautiful, it's indisputable, it's undeniable, she's
Got-to-havable
She's music to my ears, and makes my heart sing, so kissable,
Huggable, lovable, unbelievable

There's so many things
I want to tell her
Like I love her
But every time I talk
I start to stutter

She's so elegant, intelligent, heaven sent, all my money spent
I put a big down payment on that itty bitty diamond ring
She's so beautiful, it's indisputable, it's undeniable, she's
Got-to-havable
She's music to my ears, and makes my heart sing, so kissable,
Huggable, lovable, unbelievable

Kissable, huggable, lovable, unbelievable
Kissable, huggable, lovable, unbelievable",Unbelievable,Unbelievable,1998,10,2:22,Track '5',Album,True
7,8,Dixie Chicks,"Should've been different, but it wasn't different, was it?
Same old story and Dear John and so long
It should've fit like a glove, it should've fit like a ring
Like a diamond ring, a token of a true love
Should've all worked out, but it didn't
She should be here now, but she isn't

There's your trouble, there's your trouble
Keep seeing double with the wrong one
And you can see I love you, you can't see she doesn't
But you just keep holding on
There's your trouble

So now you're thinking 'bout all you're missing
How deep your sinkin' 'round and 'round and draggin' down
Why don't you cash in your chips? Why don't you call it a loss?
Not such a big loss, chalk it up for better luck
Could have been true love, but it wasn't
It should all add up, but it doesn't

There's your trouble, there's your trouble
Keep seeing double with the wrong one
And you can see I love you, you can't see she doesn't
But you just keep holding on
There's your trouble

Should have all worked out, but it didn't
She should be here now, but she isn't

There's your trouble, there's your trouble
Keep seeing double with the wrong one
And you can see I love you, you can't see she doesn't
But you just keep holding on
There's your trouble
There's your trouble
There's your trouble
There's your trouble
There is your trouble",There's Your Trouble,There's Your Trouble,1999,3,3:10,Track '1',Single,True
8,9,Terri Clark,"Shoulda known it was you knocking on my door
At half past a heartache at quarter to four
Were you starting to worry I was finally getting over you
I almost forgot you looked so fine
If you told me some lies, it would be like old times
Just getting to see you is almost worth the things you do.

You're easy on the eyes
Hard on the heart
You look so good but the way things look ain't the way they are
Better say goodbye 
Before this goes too far
'Cause now I realize you're easy on the eyes
Hard on the heart.

I got to admit to you got a smile
That really reeled me in for awhile
But it ain't funny, honey, what you put me through
So why don't you send me your photograph
It'd hurt a lot less than taking you back
Then I could still have my favorite part of you.

You're easy on the eyes
Hard on the heart
You look so good but the way things look ain't the way they are
Better say goodbye 
Before this goes too far
'Cause now I realize you're easy on the eyes
Hard on the heart.

You're easy on the eyes
Hard on the heart
You look so good but the way things look ain't the way they are
Better say goodbye 
Before this goes too far
'Cause now I realize you're easy on the eyes
Hard on the heart.

'Cause you're easy on the eyes
Hard on the heart
You look so good but the way things look ain't the way they are
Better say goodbye 
Before this goes too far
'Cause now I realize you're easy on the eyes
Hard on the heart.

You're easy on the eyes
Hard on the heart
You look so good but the way things look ain't the way they are
Better say goodbye 
Before this goes too far
Now I realize you're easy on the eyes
Hard on the heart.

Now I realize 
You're easy on the eyes
Hard on the heart...",You're Easy On The Eyes,Terri Clark Live: Road Rage,2009,13,,Track '2',Album,True
9,10,John Michael Montgomery,"I wanna wake up each morning
With you for the rest of my life
I wanna feel your heart beating
And just get lost in your eyes
You can tell me your secrets
You can let me feel your pain
You can show me your weakness
And never be ashamed

Hold on to me when your world's turnin' cold
When it feels like your life's spinnin' out of control
You're hopin', prayin', tryin' so hard to believe
Hold on to me when there's no middle ground
And every emotion is comin' unwound
And you don't know if you can hold on to your dreams
Baby you can hold on to me

I wanna lay down each evenin'
With you right here by my side
I wanna get drunk on your laughter
And wipe all the tears when you cry
You can scare me with your darkness
You can blind me with your light
Throw your worries out the window baby
On your wildest night

Hold on to me when your world's turnin' cold
When it feels like your life's spinnin' out of control
You're hopin', prayin', tryin' so hard to believe
Hold on to me when there's no middle ground
And every emotion is comin' unwound
And you don't know if you can hold on to your dreams
Baby you can hold on to me

Hold on to me when there's no middle ground
And every emotion is comin' unwound
And you don't know if you can hold on to your dreams
Baby you can hold on I said
Baby you can hold on I said
Baby you can hold on to me",Hold On To Me,The Very Best of John Michael Montgomery,2003,20,,Track '12',Single,True
