,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Lady Antebellum,"Picture perfect memories scattered all around the floor
Reachin' for the phone, 'cause I can't fight it any more
And I wonder if I ever cross your mind
For me, it happens all the time

It's a quarter after one, I'm all alone and I need you now
Said I wouldn't call, but I've lost all control and I need you now
And I don't know how I can do without, I just need you now

Another shot o' whiskey, can't stop lookin' at the door
Wishing you'd come sweepin' in the way you did before
And I wonder if I ever cross your mind
For me, it happens all the time

It's a quarter after one, I'm a little drunk and I need you now
Said I wouldn't call, but I've lost all control and I need you now 
And I don't know how I can do without; I just need you now

Whoa-oh-whoa
Guess I'd rather hurt than feel nothin' at all

It's a quarter after one, I'm all alone and I need you now
And I said I wouldn't call, but I'm a little drunk and I need you now
And I don't know how I can do without, I just need you now
I just need you now

Oh, baby, I need you now",Need You Now,Need You Now,2010,11,4:38,Track '1',Album,True
1,2,Jason Aldean,"She had a shiny little beamer with the rag top down
Sitting in the drive but she wouldn't get out
The dogs were all barking and a wagging around
I just laughed and said y'all get in
She had on a new dress and she curled her hair
She was looking too good not to go somewhere
I said whatcha wanna do baby I don't care
We can go to the show or we can stay right here and

I can take you for a ride on my big green tractor
We can go slow or make it go faster
Down through the woods out to the pasture
Long as I'm with you it don't matter
Climb up in my lap and drive if you want to
Girl, you know you got me to hold on to
We can go to town but baby if you'd rather
I'll take you for a ride on my big green tractor

I said we can fire it up and I can show you around
Sit up on the hill and watch the sun go down
When the fire flies are dancing and the moon comes out
We can turn on the lights and head back to the house or

We can take another ride on my big green tractor
We can go slow or make it go faster
Down through the woods out to the pasture
Long as I'm with you it really don't matter
Climb up in my lap and drive if you want to
Girl, you know you got me to hold on to
We can go to town but baby if you'd rather
I'll take you for a ride on my big green tractor

Mmm just let me dust off the seat
Mmm now put your pretty little arms around me

Climb up in my lap and drive if you want to
Girl, you know you've got me to hold on to
We can go to town but baby if you'd rather
I'll take you for a ride on my big green tractor
We can go to town
Or we can go another round
On my big green tractor",Big Green Tractor,Big Green Tractor/She's Country,2009,2,,Track 'A',Single,True
2,3,Darius Rucker,"He didn't have to wake up
He'd been up all night
Lying there in bed and listening
To his newborn baby cry
He makes a pot of coffee
He splashes water on his face
His wife gives him a kiss and says, 
""It's gonna be okay""

""It won't be like this for long
One day we'll look back laughing
At the week we brought her home
This phase is gonna fly by
So baby, just hold on
It won't be like this for long""

Four years later, 'bout 4:30
She's crawling in their bed
And when he drops her off at pre-school
She's clinging to his leg
The teacher peels her off of him
He says, ""What can I do?""
She says, ""Now, don't you worry
This'll only last a week or two""

""It won't be like this for long
One day soon you'll drop her off
And she won't even know you're gone
This phase is gonna fly by
If you can just hold on
It won't be like this for long""

Someday soon she'll be a teenager
And at times, he'll think she hates him
And he'll walk her down the aisle
And raise her veil 
But right now she's up and cryin'
And the truth is that he don't mind
As he kisses her goodnight
And she says her prayers

He lays down there beside her
'Till her eyes are finally closed
And just watching her it breaks his heart
'Cause he already knows

It won't be like this for long
One day soon that little girl is gonna be
All grown up and gone
And this phase is gonna fly by
So he's trying to hold on
It won't be like this for long
It won't be like this for long",It Won't Be Like This For Long,Learn To Live,2008,12,3:39,Track '8',Album,True
3,4,Taylor Swift,"You're on the phone with your girlfriend, she's upset
She's going off about something that you said
'Cause she doesn't get your humor
Like I do

I'm in my room, it's a typical Tuesday night
I'm listenin' to the kind of music she doesn't like
And she'll never know your story
Like I do

But she wears short skirts, I wear t-shirts
She's cheer captain and I'm on the bleachers
Dreamin' 'bout the day when you wake up and find
That what you're looking for has been here the whole time

If you could see that I'm the one who understands you
Been here all along, so why can't you see
You belong with me?
You belong with me

Walkin' the streets with you and your worn out jeans
I can't help thinkin' this is how it ought to be
Laughin' on a park bench, thinkin' to myself
Hey, isn't this easy?

And you've got a smile that could light up this whole town
I haven't seen it in a while since she brought you down
You say you're fine, I know you better than that
Hey, what ya doin' with a girl like that?

She wears high heels, I wear sneakers
She's cheer captain and I'm on the bleachers
Dreamin' 'bout the day when you wake up and find
That what you're lookin' for has been here the whole time

If you could see that I'm the one who understands you
Been here all along, so why can't you
See
You belong with me?

Standin' by you, waitin' at your back door
All this time, how could you not know
Baby, you belong with me
You belong with me

Oh I remember you, drivin' to my house in the middle of the night
I'm the one who makes you laugh, when you know you're 'bout to cry
I know your favorite songs, and you tell me 'bout your dreams
Think I know where you belong, think I know it's with me

Can't you see that I'm the one who understands you?
Been here all along, so why can't you
See
You belong with me?

Standin' by you, waitin' at your back door
All this time, how could you not know
Baby
You belong with me, you belong with me

You belong with me, have you ever thought, just maybe
You belong with me, you belong with me",You Belong With Me,You Belong With Me,2009,2,3:53,Track '1',Single,True
4,5,Dierks Bentley,"Hey girl, what's your name?
It's so loud in here I can't hear a thing,
But I sure do like your style,
And I can see you came to rock
In your blue jeans and white tank top;
Man that look drives me wild.

And it's hey now here we go.
DJ don't you play nothing slow
Keep those girls out on the floor
Gotta make them want to come back for more.
Been here since the sun went down,
Be here when it comes back around
Worked all week it's time to play
Gonna get a little bit
Sideways

Ain't no need to fight
Y'all take that redneck stuff outside
That's what parking lots are for.
Once you're out you ain't coming back
The velvet rope ain't got no slack.
Man they're busting down the door!

And it's hey now here we go
DJ don't you play nothing slow
Keep those girls out on the floor
Gotta make 'em wanna come back for more.
Been here since the sun went down
Be here when it comes back around
Worked all week it's time to play
Gonna get a little bit sideways...
Sideways.

That's right

Hey now here we go
(Hey now here we go)
DJ don't you play nothing slow
Gotta make 'em wanna (what?)
Gotta make 'em wanna (what?)
Gotta make 'em wanna come back for more

Hey now here we go
DJ don't you play nothing slow
Keep those girls out on the floor
Gotta make 'em wanna come back for more
Been here since the sun went down
Be here when it comes back around
Worked all week it's time to play
Gonna get a little bit sideways (na na na na na)...
Sideways... sideways... sideways

Hey girl what's your name?
It's so loud in here I can't hear a thing",Sideways,Feel That Fire,2009,12,3:03,Track '2',Album,True
5,6,Brad Paisley,"I remember trying not to stare the night that I first met you
You had me mesmerized
And three weeks later in the front porch light
Taking forty five minutes to kiss goodnight
I hadn’t told you yet, but I thought I loved you then

And now you’re my whole life, now you’re my whole world
And I just can’t believe the way I feel about you girl
Like a river meets the sea, stronger than it's ever been
We’ve come so far since that day and I thought I loved you then

I remember, taking you back to right where I first met you
You were so surprised
There people around but I didn’t care
I got down on one knee right there
And once again, I thought I loved you then

And now you’re my whole life, now you’re my whole world
I just can’t believe the way I feel about you girl
Like a river meets the sea, stronger than it’s ever been
We’ve come so far since that day and I thought I loved you then

I can just see you with a baby on the way
I can just see you when your hair is turning grey
What I can’t see is how I'm ever going to love you more
But I’ve said that before

And now you’re my whole life, now you’re my whole world
And I just can’t believe the way I feel about you girl
We’ll look back someday, at this moment that we’re in 
And I’ll look at you and say, ""and I thought I loved you then""
And I thought I loved you then",Then,American Saturday Night,2009,15,5:21,Track '4',Album,True
6,7,Uncle Kracker,"You're better than the best
I'm lucky just to linger in your light
Cooler then the flip side of my pillow, that's right

Completely unaware
Nothing can compare to where you send me
Let me know that it's okay, yeah it's okay
And the moments when my good times start to fade

You make me smile like the sun
Fall out of bed, sing like a bird
Dizzy in my head, spin like a record
Crazy on a Sunday night

You make me dance like a fool
Forget how to breathe
Shine like gold, buzz like a bee
Just the thought of you can drive me wild
Oh, you make me smile

Even when you're gone
Somehow you come along
Just like a flower poking through the sidewalk crack 
And just like that
You steal away the rain and just like that

You make me smile like the sun
Fall out of bed, sing like a bird
Dizzy in my head, spin like a record
Crazy on a Sunday night

You make me dance like a fool
Forget how to breathe
Shine like gold, buzz like a bee
Just the thought of you can drive me wild
Ohh, you make me smile

Don't know how I lived without you
'Cause every time that I get around you
I see the best of me inside your eyes
You make me smile

You make me dance like a fool
Forget how to breathe
Shine like gold, buzz like a bee
Just the thought of you can drive me wild

You make me smile like the sun
Fall out of bed, sing like a bird
Dizzy in my head, spin like a record
Crazy on a Sunday night

You make me dance like a fool
Forget how to breathe
Shine like gold, buzz like a bee
Just the thought of you can drive me wild
Oh, you make me smile

(Oh, you make me smile)
Oh, you make me smile

(Oh, you make me smile)
Oh, you make me smile",Smile,Happy Hour,2009,12,3:21,Track '1',Album,True
7,8,Kenny Chesney,"We went out last night
Like we swore we wouldn't do
Drank too much beer last night
A lot more than we wanted to
There were girls from Argentina and Arkansas
Maine, Alabama and Panama
All mixed together and having a ball

Yeah, we went went out last night
One thing started leading to another
Out last night
Getting to know everybody and their mother
There were two karaoke girls drunk on a dare
Singing ""I Got You Babe"" by Sonny and Cher
Yeah, life was good everywhere
We went out last night

Well you know I'm a music man
I grew up in east Tennessee
Last night I was everything
When I got a few drinks in me
I was a doctor, a lawyer, a senator's son
Brad Pitt's brother and a man on the run
Anything I thought would get the job done

Yeah we went out last night
One thing started leading to another
Out last night
Getting to know everybody and their mother
There were people doing body shots up on the bar
Jimmy in a fist fight out by the car
Everybody was some kind of star
When we went out last night

Well the fact that I'm still breathing
Means that I must have survived
And that I lived to go out with my friends again tonight

Oh, We went out last night
One thing started leading to another
Out last night
Everybody started loving on each other

They were dancing on the tables
And howling at the moon
Pairing up together and pretty soon
There was not a sole in sight
When we went out last night",Out Last Night,Live in No Shoes Nation,2017,29,,Track '22',Album,True
8,9,Billy Currington,"This old man and me
Were at the bar and we
Were havin' us some beers and
Swappin' I don't cares
Talkin' politics
Blonde and redhead chicks
Old dogs and new tricks and
Habits we ain't kicked

We talked about Gods grace
And all the hell we raised
Then I heard the old man say,
""God is great, beer is good and People Are Crazy""

He said ""I fought two wars,
Been married and divorced""
What brings you to Ohio?
He said ""Damn if I know""
We talked an hour or two
About every girl we knew
What all we put 'em through
Like two old boys will do

We pondered life and death
He light a cigarette
He said ""These damn things will kill me yet,
But God is great, beer is good and people are crazy""

Last call its 2:00am
I said goodbye to him
I never talked to him again

Then one sunny day
I saw the old man's face
Front page Obituary
He was a millionaire he
He left his fortune to
Some guy he barely knew
His kids were mad as hell
Huh but me, I'm doing well
And I drop by today
To just say thanks and pray
And I left a six-pack right there on his grave
And I said God is great, beer is good and people are crazy

God is great, beer is good and people are crazy
God is great, beer is good and people are crazy",People Are Crazy ,Icon (The Best Of Billy Currington),2011,11,,Track '7',Compilation,True
9,10,Blake Shelton,"Red roadside wildflower, if I had only picked you
Took you home set you on the counter, oh at least a time or two
Maybe she'd've thought it through

Yellow sunset slowly dippin' down in the rear view
Oh, how she'd love to sit and watch you
I could have done that a whole lot more

If I hadn't been so stubborn, been so selfish
Thought about her more, thought about me less
Joked to make her laugh, held her when she cried
A little more of that, maybe I wouldn't be

Drivin' like hell, flyin' like crazy down the highway
Callin' everyone we know
Stoppin' any place she might be
Goin' any place she might go

Beatin' on the dash, screamin' out her name at the windshield
Tears soakin' up my face
If I'd o' loved her this much, all along
Maybe, maybe, yeah, maybe, she wouldn't be gone

She wouldn't be gone

She warned me it was comin', said if I didn't change she was leavin'
I just didn't believe, she would ever really walk out
God, I believe her now

Called her mama, cried like a baby to her best friend
If they've seen her, they ain't sayin'
They ain't sayin'

Now, I'm cursin' like a fool, prayin' it ain't too late
All I wanna do is fix my mistakes
Find her, beg her for one more try
Until then, damn it, I'll be

Drivin' like hell, flyin' like crazy down the highway
Callin' everyone we know
Stoppin' any place she might be
Goin' any place she might go

Beatin' on the dash, screamin' out her name at the windshield
Tears soakin' up my face
If I'd o' loved her this much, all along
Maybe, maybe, yeah, maybe, she wouldn't be gone

She wouldn't be gone

I wouldn't be drivin' like hell, flyin' like crazy down the highway
Callin' everyone we know
Stoppin' any place she might be
Goin' any place she might go

Beatin' on the dash, screamin' out her name at the windshield
Tears soakin' up my face
If I'd o' loved her this much, all along
Maybe, maybe, yeah, maybe, she wouldn't be gone

She wouldn't be gone

Red roadside wildflower, if I had only picked you
Took you home, set you on the counter
Oh, at least a time or two
Maybe she'd've thought it through",She Wouldn't Be Gone,Loaded: The Best Of Blake Shelton ,2015,15,3:35,Track 'C4',Album,True
