,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Randy Travis,"You may think that I'm talkin' foolish
You've heard that I'm wild and I'm free
You may wonder how
I can promise you now
This love that I feel for you always will be

But you're not just time that I'm killing
I'm no longer one of those guys
As sure as I live
This love that I give
Is gonna be yours until the day that I die

Oh baby, I'm gonna love you forever
Forever and ever, amen
As long as old men sit and talk about the weather
As long as old women sit and talk about old men
If you wonder how long I'll be faithful
I'll be happy to tell you again
I'm gonna love you forever and ever
Forever and ever, amen

They say time takes its toll on a body
Makes the young girls' brown hair turn grey
But honey, I don't care
I ain't in love with your hair
And if it all fell out, well I'd love you anyway

They say that time can play tricks on a memory
Make people forget things they knew
But it's easy to see 
It's happening to me
I've already forgotten every woman but you

Oh darlin', I'm gonna love you forever
Forever and ever, amen
As long as old men sit and talk about the weather
As long as old women sit and talk about old men
If you wonder how long I'll be faithful
Just listen to how this song ends
I'm gonna love you forever and ever
Forever and ever, amen
I'm gonna love you forever and ever
Forever and ever, forever and ever
Forever and ever, amen","Forever And Ever, Amen","Forever And Ever, Amen",1988,2,3:31,Track 'A',Single,True
1,2,Michael Johnson,"He asked her, ""What gifts can I bring you
To prove that my love for you is true?
I want to make you mine forever
There's nothing on this earth I would not do""

She said, ""Anything I've wanted
You have given willingly
So now there's only one more thing I need""

If you love me, give me wings
And don't be afraid if I fly
A bird in a cage will forget how to sing
If you love me, give me wings

He walked over to the window
He silently stared into space
Then he said, ""Well, I just want to protect you
'Cause this world is a dangerous place""

She put her arms around him
She said, ""I know you mean well
But there are lessons I must learn for myself""

So if you love me, give me wings
And don't be afraid if I fly
A bird in a cage will forget how to sing
And you can trust me, so give me wings

She said, ""Up above the clouds
You can see forever
And I know you and I can learn to fly together""

If you love me, give me wings
Don't be afraid if I fly
A bird in a cage will forget how to sing
And you can trust me, so give me wings

If you really love me
Give me wings",Give Me Wings,Give Me Wings,1986,2,3:38,Track 'A',Single,True
2,3,The Judds (Wynonna & Naomi),,Cry Myself To Sleep,Cry Myself To Sleep,1986,2,3:32,Track 'A',Single,True
3,4,Dan Seals,"I've often wondered what would I do 
If I found you alone like this 
Would I remember 
What I've got at home 
Or forget it all with your kiss 
'Cause when you left me 
I was hurtin' so 
She picked me up off the ground 
And I do love her, I want you to know 
That I never want to let her down 

But you still move me 
Though I'd never let her know 
There's a place inside of me that just won't let you go 
And every time I hold her in my arms 
Or look into her eyes 
I wonder this time, does it show 
'Cause you still move me 

I guess I'd better leave now 
Before it's too late 
Before these feelings go too far 
But I had to see you 
Just one more time 
'Cause it's been tearing me apart 
'Cause you still move me 
And I wonder how much longer can this go on 
The feelin' wrong, I know it's wrong 
And I don't know which way to turn 
Here with you, or home with her 

But you still move me 
Though I'd never let her know 
There's a place inside of me that just won't let you go 
And every time I hold her in my arms 
Or look into her eyes 
I wonder this time, does it show 
'Cause you still move me 
'Cause you move me, God you move me",You Still Move Me ,You Still Move Me /  I'm Still Strung Out On You,1986,2,5:08,Track 'A',Single,True
4,5,Reba McEntire,"The kid down the street mowes the grass every week 
The neighbor next door fixed the roof where it leaked 
Job's going fine and the bills are all paid 
And everyone thinks that I'm doing OK 

There's a guy down at work 
He's asked me out once or twice 
I haven't said yes 
But I'm thinking I might 
And on my way home I thought I saw you walk by 
If only I could get you out of my mind 

What in the world am I gonna do about you 
Oh your memory keeps coming back 
From out of the blue 
Oh well I try 
And I try 
But I still can't believe that we're through 
So tell me what in the world am I gonna do about you 
What am I gonna do about you 

I went to the store 
But it wasn't much fun 
It doesn't take long when you're shopping for one 
Standing in line I thought I saw you walk in 
And that's when it started all over again 

What in the world am I gonna do about you 
Oh your memory keeps coming back 
From out of the blue 
Oh well I try 
And I try 
But I still can't believe that we're through 
So tell me what in the world am I gonna do about you 
What am I gonna do about you 
Darling what am I gonna do about you",What Am I Gonna Do About You,What Am I Gonna Do About You,1986,10,3:28,Track 'A2',Album,True
5,6,Merle Haggard,,"Twinkle, Twinkle Lucky Star","Twinkle, Twinkle Lucky Star / I Don't Have Any Love Around",1987,2,3:21,Track 'A',Single,True
6,7,Highway 101,"Somewhere tonight he's a live wire he's got his sights on someone new
Somewhere tonight he's a high flyer and I'm so lonesome I don't know what to do

I bet he's out there shinin' like a diamond don't you know
Turnin' heads and breakin' hearts and puttin' on a show
Rollin' like a summer storm driftin' with the wind
And I just wish he'd blow my way again
Somewhere tonight...
(Guitar - steel)
I've read that goodbye letter at least a thousand times
He said I was the only one who almost changed his mind
But better homes and garden parties weren't his cup of tea
Somewhere tonight he's running wild and free
Somewhere tonight...
And I'm so lonesome I don't know what to do",Somewhere Tonight,Highway 101,1987,10,3:15,Track 'A3',Album,True
7,8,The Forester Sisters,,Dixie Man,The Forester Sisters,1985,10,,Track 'A5',Album,True
8,9,Rosanne Cash,"Just one more kiss, she'll have to miss this night with you 
Now you're guilty of this secret love, as I am too 
You'll get used to telling lies, feeling sorry when she cries 
Now that the strings aren't attached, you'll catch on, we've done our part 
Oh, and this is the way we make a broken heart 

Lesson number one, we've just begun to hurt her so 
And with lesson two she'll long for you when lights are low 
And we get to lesson three when she gets down on her knees 
And begs you to stop at the door just before she comes apart 
Oh, this is the way we make a broken heart 

Now we've made a trail of tears for her to follow 
And we've thought of every line that she might swallow 

And with lesson four, there'll be no more for her to bear 
And on some dark night we'll dim the lights on this affair 
Then she'll find somebody new and he'll likely hurt her too 
'Cause there must be millions just like you and me, practiced in the art 
Oh, and this is the way we make a broken heart 
Oh, and this is the way we make a broken heart 

Ay yi, yi, yi, yi, yi, yi, yi 
This is the way we make a broken heart 
Ay yi, yi, yi, yi, yi, yi, yi, yi, yi
This is the way, this is the way, this is the way, this is the way 
Oh, this is the way we make a broken heart",The Way We Make A Broken Heart,The Way We Make A Broken Heart / 707,1987,2,3:35,Track 'A',Single,True
9,10,Ricky Van Shelton,"Hello, yeah, this is me
Lord, it's been a long, long time
I know this ain't no social call 
So, go ahead, get it off your mind

You heard what? Well, it ain't true 
I was here most all last night
I got over you the day you left 
Could it be somebody lied?

They said what? That I was cryin'?
I haven't shed a tear in years
That I spoke your name? Well, that's insane 
I've hardly noticed you're not here

That I showed your picture to some stranger?
Don't you think I've got no pride
They've been here at home, face down on a shelf 
Lord, I bet somebody lied

But if they were true 
What would it matter to you?
Would it change the way you feel?
If the rumors were right
Would you be here tonight 
To help this old heart heal

Well, don't worry, it wasn't me 
Just someone whose world was torn in two
Someone who looks a lot like me 
And loves someone like you

So, forget the tears I've never cried 
Lord, I bet somebody lied",Somebody Lied,Somebody Lied,1987,2,3:20,Track 'A',Single,True
