,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Julio Iglesias & Willie Nelson,"To all the girls I've loved before
Who travelled in and out my door
I'm glad they came along
I dedicate this song
To all the girls I've loved before

To all the girls I once caressed
And may I say I've held the best
For helping me to grow
I owe a lot I know
To all the girls I've loved before

The winds of change are always blowing
And every time I try to stay
The winds of change continue blowing
And they just carry me away

To all the girls who shared my life
Who now are someone else's wives
I'm glad they came along
I dedicate this song
To all the girls I've loved before

To all the girls who cared for me
Who filled my nights with ecstasy
They live within my heart
I'll always be a part
Of all the girls I've loved before

The winds of change are always blowing
And every time I try to stay
The winds of change continue blowing
And they just carry me away

To all the girls we've loved before
Who travelled in and out our doors
We're glad they came along
We dedicate this song
To all the girls we've loved before

To all the girls we've loved before
Who travelled in and out our doors
We're glad they came along
We dedicate this song
To all the girls we've loved before",To All The Girls I've Loved Before,To All The Girls I've Loved Before,1984,2,3:30,Track 'A',Single,True
1,2,Anne Murray (with Dave Loggins),,Nobody Loves Me Like You Do,Nobody Loves Me Like You Do,1984,2,3:51,Track 'A',Single,True
2,3,The Judds,"You've been lookin' for love all around the world
Baby, don't you know this country girl's still free?
Why not me?
Well, you've finally come down to your old hometown
Your Kentucky girl's been waiting patiently
Why not me?

Why not me on a rainy day?
Why not me to love your cares away?
Why not me?
Why not me when the nights get cold?
Why not me when you're growin' old?
Why not me?

You've been searchin' from here to Singapore
Ain't it time that you notice the girl next door, baby
Why not me?
You had to see if the world was round
It's time that you learned how good settlin' down could be
Why not me?

Why not me on a rainy day?
Why not me to love your cares away?
Why not me?
Why not me when the nights get cold?
Why not me when you're growin' old?
Why not me?

You've been lookin' for love all around the world
Baby, don't you know this country girl's still free?

Why not me?

Baby, why not me?

Oh, baby, why not me?

Oh, baby, why not me?

Oh, baby, why not me?",Why Not Me,Why Not Me,1984,10,3:29,Track 'A1',Album,True
3,4,George Strait,"Oh how you sparkle
And oh how you shine
The flush on your cheeks
Is more than the wine

And he must do something
That I didn't do
Whatever he's doing
It looks good on you

You look so good in love,
You want him
That's easy to see
You look so good in love
I wish you still wanted me

He must have stolen
The stars from the sky
And gave them to you
To wear in your eyes

I had my chances
But I set you free
And now I wonder
Why I couldn't see

You look so good in love,
You want him
It's easy to see
You look so good in love
I wish you still wanted me

spoken:
Darling I've wasted a lot of years not seeing the real you
But tonight your beauty is shining through,
And I never took the time to let you know
So before he takes you awayplease let me say

You look so good in love,
You want him
Its easy to see
You look so good in Love,
I wish you still wanted me",You Look So Good In Love,You Look So Good In Love,1983,2,3:10,Track 'A',Single,True
4,5,John Conlee,"She's just a woman
A hundred pounds of flesh and blood
Quick with a smile warm with a touch for me
She's just a woman
And not the least or the most desired
But she sets one man's heart on fire
And it's me that she wants to please.

And in my eyes
God never made a more beautiful girl
In my eyes
There's no one more lovely in all of the world
And she looks at me at times with such surprise
When she sees how special she is in my eyes.

She's only human
And she cries sometimes when she looks in the mirror
And counts a new line that seemed to appear overnight
She's only human
It's not that she's vain, she's just afraid
That therell come a time when Ill turn away at the sight
But I swear that's not right.

And in my eyes
She just grows lovelier to me
And in my eyes
She's only aging gracefully
And a thousand strands of gray wont disguise
The woman shell always be in my eyes.

Sometimes she makes mistakes
But I'm aware of her faults
Her moods go up and down
But that's just because
She's just a woman
And giving her love to only me
Without her help I would be less of a man
Than she thinks I am.

And in my eyes
Love never changes or pretends
In my eyes
Her mystery never ends
And everything I feel as years go by
Makes her love grow sweeter still in my eyes
In my eyes...
She is my woman",In My Eyes,In My Eyes,1983,10,,Track 'B5',LP,True
5,6,T.G. Sheppard,"She's got that dark hair falling 'cross her shoulders
There's not a man alive that wouldn't want to hold her
And the way she moves, just the way she moves
Well, that's enough to keep me on a slow burn
Keep me on a slow burn

In her high heals kicking 'cross the dance floor
She's more woman than I could ever ask for
Still there's something in her eyes, in those dark eyes
That's love and that keeps me on a slow burn
Keeps me on a slow burn

When we touch this fire breaks out
And it rages out of control
And the love we made is so deep, so strong
And when it's over, even when it's over
And the flame dies down
It just dies down to a slow burn, slow burn

And the love we made is so deep, so strong
That when it's over, even when it's over
And the flame dies down
It just dies down to a slow burn, a slow burn
A slow burn, slow burn

She's got that dark hair falling 'cross her shoulders
Keeps me on a slow burn
In her high heals kicking 'cross the dance floor
Keeps me on a slow burn
When we touch, when we touch",Slow Burn,Slow Burn,1983,10,4:19,Track 'A5',Album,True
6,7,Anne Murray,"I'm strong, I'm sure
I'm in control
A lady with a plan
Believing that life
Is a neat little package
I hold in my hand
I've got it together
They call me the girl
Who knows just what to say and do
Still, I fumble and fall
Run into the wall
'Cause when it comes to you

I'm just another woman in love
A kid out of school
A fire out of control
Just another fool
You touch me and I'm weak
I'm a feather in the wind
And I can't wait to feel you touching me again
With you, I'm just another woman
Just another woman in love

So pardon me
If I should stare
And tremble like a child
That wanting me look
All over your face
Is driving me wild
I'm just what you make me
Can't wait till you take me
And set all my feelings free
I know that you can
So come be my man
Tonight, I want to be

Just another woman in love
A kid out of school
A fire out of control
Just another fool
You touch me and I'm weak
I'm a feather in the wind
And I can't wait to feel you touching me again
With you, I'm just another woman
Just another woman in love

Just another woman in love
A kid out of school
A fire out of control
Just another fool
You touch me and I'm weak
I'm a feather in the wind
And I can't wait to feel you touching me again
With you, I'm just another woman",Just Another Woman In Love,Just Another Woman In Love,1983,2,2:54,Track 'A',Single,True
7,8,The Statler Brothers,"Oh Elizabeth, I want to see your pretty face
I want to touch your lips, I want to feel your warm embrace
Don't know if I could ever live my life without you
Oh Elizabeth, I'm sure missing you

I remember when we shared a life together
You gave me strength and love with life that felt brand new
When you're so far away, I'd have to say I'm feeling blue
Oh Elizabeth, I'm sure missing you

Oh Elizabeth, I long to see your pretty face
I long to touch your lips, I long to feel your warm embrace
Don't know if I could ever live my life without you
Oh Elizabeth, I'm sure missing you

Well it's been said before that I've caused many heartaches
And I wonder if that was really true
Being all alone feels my heart would surely break
Oh Elizabeth, I hope you understand

Oh Elizabeth, I want to see your pretty face
I want to touch your lips, I want to feel your warm embrace
Don't know if I could ever live my life without you
Oh Elizabeth, I'm sure missing you

Don't know if I could ever live my life without you
Oh Elizabeth, I'm sure missing you
Oh Elizabeth",Elizabeth,Elizabeth,1983,2,3:24,Track 'A',Single,True
8,9,Crystal Gayle,"None of your friends come near you
They've given up trying to steer you
Because you're turning away, turning away from love

Lately you look so ragged
The edge of your heart's become jagged
And your turning away, turning away from love
I see ya turning away, turning away from love
I see ya turning away, turning away from love

Well she gives it to you without asking
A piece of her heart everlasting
But you're turning away, turning away from love.

Just when this old world needs all the love it can get
You're turning away, yo're turning away from the one who really cares, turning away from love",Turning Away,The Best Of Crystal Gayle,1986,10,2:54,Track 'A2',Single,True
9,10,Ronnie Milsap,"You can tell her
That you love her
A hundred different ways
But it won't mean as much
As just the right touch
At just the right time of day

You've got to show her a little each day
Really show her, You mean what you say
It's not enough just to tell her you love her
If you want her to know you've got to let it show

When her laughter turns to tears
For reasons she can't explain
Remember this that just one kiss
Was all your love needs to say

Go on and show her a little each day
Really show her, You mean what you say
It's not enough just to tell her you love her
If you want her to know you've got to let it show

So, if you can't live without her
You better learn to let her know how you feel
Just remember that you hold the power
To tell her all that words can't reveal

You've got to show her a little each day
Really show her, You mean what you say
It's not enough just to tell her you love her
If you want her to know you've got to let it show",Show Her,The Best Of Ronnie Milsap,1984,18,,Track 'A4',Single,True
