,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Leroy Van Dyke,"If I see you tomorrow on some street in town
Pardon me, if I don't say hello
(Hello)
I be long to an other, it wouldn't look so good
To know someone I'm not supposed to know

Just walk on by, wait on the corner
I love you, but we're strangers when we meet
Just walk on by, wait on the corner
I love you, but we're strangers when we meet

In a dimly lit corner in a place outside of town
Tonight we'll try to say goodbye again
(Goodbye)
But I know it's not over, I'll call tomorrow night
I can't let you go, so why pretend

Just walk on by, wait on the corner
I love you, but we're strangers when we meet
Just walk on by, wait on the corner
I love you, but we're strangers when we meet
I love you, but we're strangers when we meet!",Walk On By,Walk On By,1961,2,,Track 'A',Single,True
1,2,Marty Robbins,,Don't Worry,Don't Worry,1961,2,,Track 'A',Single,True
2,3,Burl Ives,"A little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
But a little bitty tear let me down

You said you were leaving tomorrow
That today was our last day
I said there'd be no sorrow
That I'd laugh when you walked away

But a little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
But a little bitty tear let me down

I said I'd laugh when you left me
Pull a funny as you went out the door
That I'd have another one waiting
And I'd wave goodbye as you go

But a little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
But a little bitty tear let me down

Everything went like a planned it
And really put on quite a show
In my heart I felt I could stand it
'Til you walked with your grip through the door

Then a little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
Oh, but a little bitty tear let me down
A little bitty tear let me down",A Little Bitty Tear,A Little Bitty Tear / Shanghied,1961,2,2:02,Track 'A',Single,True
3,4,Jimmy Dean,"(Big John)
(Big John)

Every mornin' at the mine you could see him arrive
He stood 6 foot 6 and weighed 245 
Kinda broad at the shoulder and narrow at the hip
And everybody knew you didn't give no lip
To Big John

(Big John)
(Big John)
Big Bad John
(Big John)

Nobody seemed to know where John called home
He just drifted into town and stayed all alone
He didn't say much he's kinda quiet and shy
And if you spoke at all you just said ""hi"" to Big John

Somebody said he came from New Orleans
Where he got in a fight over a Cajun queen
And a crashin' blow from a huge right hand
Sent a Louisiana fella to the Promised Land, Big John

(Big John)
(Big John)
Big Bad John
(Big John)

Then came the day at the bottom of the mine
When a timber cracked and men started cryin'
Miners were prayin' and hearts beat fast 
And everybody thought that they'd breathed their last, 'cept John

Through the dust and the smoke of this man made hell
Walked a giant of a man that the miners knew well
Grabbed a saggin' timber and gave out with a groan
And like a giant oak tree just stood there alone
Big John

(Big John)
(Big John)
Big Bad John
(Big John)

And with all of his strength he gave a mighty shove
Then a miner yelled out, ""There's a light up above.""
And 20 men scrambled from a would be grave
And now there's only one left down there to save
Big John

With jacks and timbers they started back down
Then came that rumble way down in the ground
And as smoke and gas belched out of that mine
Everybody knew it was the end of the line
For Big John

(Big John)
(Big John)
Big Bad John
(Big John)

Now they never reopened that worthless pit 
They just placed a marble stand in front of it
These few words are written on that stand
""At the bottom of this mine lies a big, big man...
Big John""

(Big John)
(Big John)
Big Bad John
(Big John)
(Big John)
Big Bad John",Big Bad John,Big Bad John,1961,2,,Track 'A',Single,True
4,5,Johnny Horton,"Way up north to Alaska, way up north to Alaska
North to Alaska, go north, the rush is on
North to Alaska, go north, the rush is on

Big Sam left Seattle in the year of '92
With George Pratt his partner and brother Billy too
They crossed the Yukon River and found a bonanza gold
Below that old white mountain, just a little southeast of Nome
Sam crossed the majestic mountains to the valleys far below
He talked to his team of huskies as he mushed on through the snow
With the Northern Lights a runnin' wild in the Land of the Midnight Sun
Yes, Sam McCord was a mighty man in the year of nineteen-one

Where the river is winding, big nuggets they're finding
North to Alaska, go north, the rush is on
Way up north to Alaska, way up north to Alaska
North to Alaska, go north, the rush is on
North to Alaska, go north, the rush is on

George turned to Sam with his gold in his hand
Said, ""Sam you're a lookin' at a lonely, lonely man
I'd trade all the gold that's buried in this land
For one small band of golden place on sweet little Jenny's hand
'Cause a man needs a woman to love him all the time
Remember Sam a true love is so hard to find
I'd build for my Jenny a honeymoon home
Below that old white mountain just a little southeast of Nome""

Where the river is windin', big nuggets they're findin'
North to Alaska, we've gone north, the rush is on
North to Alaska, we've gone north, the rush is on
Way up north to Alaska, way up north to Alaska
North to Alaska, go north, the rush is on
North to Alaska, go north, the rush is on",North To Alaska,North To Alaska,1960,2,,Track 'A',Single,True
5,6,Faron Young,"Hello walls (hello hello) how things go for you today
Don't you miss her since she upped and walked away
And I'll bet you dread to spend another lonely night with me
But lonely walls I'll keep you company.

Hello window (hello hello) well I see that you're still here
Aren't you lonely since our darling disappeared
Well look here is that a teardrop in the corner of your pane
Now don't you try to tell me that it's rain.

She went away and left us all alone the way she planned
Yes, we'll have to learn to get along without her if we can
Hello ceiling (hello hello) I'm gonna stare at you a while
You know I can't sleep so won't you bear with me awhile.

We must all stick together or else I'll lose my mind
I've got a feeling she'll be gone a long, long time.
(Hello, hello)...",Hello Walls,Hello Walls / Congratulations,1961,2,2:22,Track 'A',Single,True
6,7,Patsy Cline,"I fall to pieces
Each time I see you again
I fall to pieces
How can I be just your friend?

You want me to act like we've never kissed
You want me to forget (to forget)
Pretend we've never met (never met)
And I've tried and I've tried, but I haven't yet
You walk by and I fall to pieces

I fall to pieces
Each time someone speaks your name (speaks your name)
I fall to pieces
Time only adds to the flame

You tell me to find someone else to love
Someone who'll love me too (love me too)
The way you used to do (used to do)
But each time I go out with someone new
You walk by and I fall to pieces
You walk by and I fall to pieces",I Fall To Pieces,I Fall To Pieces,1961,2,2:47,Track 'A',Single,True
7,8,Patsy Cline,"Crazy
I'm crazy for feeling so lonely
I'm crazy
Crazy for feeling so blue

I knew
You'd love me as long as you wanted
And then some day
You'd leave me for somebody new

Worry
Why do I let myself worry?
Wondering
What in the world did I do?

Oh, crazy
For thinking that my love could hold you
I'm crazy for trying
And crazy for crying
And I'm crazy for loving you

Crazy
For thinking that my love could hold you
I'm crazy for trying
And crazy for crying
And I'm crazy for loving you",Crazy,Crazy,1990,2,,Track 'A',Single,True
8,9,George Jones,"I've been living a new way
Of life that I love so
But I can see the clouds are gath'ring
And the storm will wreck our home
For last night he held you tightly
And you didn't even shove
This is true for I've been watching
From the window up above.

You must have thought that I was sleeping
And I wish that I had been
But I guess it's best to know you
And the way your heart can sin
I thought we belonged together
And our hearts fit like a glove
I was wrong for I've been watching
From the window up above.

From my eyes the teardrops started
As I listened on and on
I heard you whisper to him softly
That our marriage was all wrong
But I hope he makes you happy
And you will never lose his love
I was wrong, I was watching
From the window up above.

How I wish I could be dreaming
And wake up to an honest love
I was wrong for I was watching
From the window up above...",The Window Up Above,The Window Up Above / Candy Hearts,1960,2,2:31,Track 'A',Single,True
9,10,George Jones,"You keep saying you love him
I believe that it's true
And it just doesn't matter
How much I love you

But in time you'll understand, dear
When you shed a tear
Then you'll know you were living
In your tender years (tender years)

In your eyes there's a lovelight
That shines for him
But how long will it stay there
Will that love light grow dim

You can just see the happiness
You can't see the tears
Yes it's true, you've been living
In your tender years (tender years)

So if I can't be your first love
I'll wait and be your last
I'll be somewhere in your future
To help you forget the past

And you'll know that I love you
With a love that's sincere
'Cause I'll wait till you're through living
In your tender years (tender years)

Yes, you'll know that I love you
With a love that's sincere
Yes, I'll wait till you're through living
In your tender years... (tender years)...",Tender Years,Tender Years / Battle Of Love,1961,2,2:18,Track 'A',Single,True
