,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Brooks & Dunn,"My Maria,
Don't you know I've come a long, long way
I been longin' to see her
When she's around she takes my blues away
Sweet Maria, 
The sunlight surely hurts my eyes
I'm a lonely dreamer on a highway in the skies

Maria (oh Maria I love you girl. Oh my Maria)
Maria (oh Maria I love you girl. Maria I love you)
I love you

My Maria, 
There were some blue and sorrow times
Just my thoughts about you bring back my piece of mind
Gypsy lady,
You're a miracle work for me
You set my soul free like a ship sailing on the sea

She is the sunlight when the skies are grey
She treats me so right lady take me away

My Maria (oh Maria I love you girl. Oh my Maria)
Maria (oh Maria I love you girl. Maria I love you)
I love you

My Maria (oh Maria I love you girl. Oh my Maria)
Maria (oh Maria I love you girl. Maria I love you)
I love you

My Maria (oh Maria I love you girl. Oh my Maria)
Maria (oh Maria I love you girl. Maria I love you)
I love you

My Maria (oh Maria I love you girl. Oh my Maria)
Maria (oh Maria I love you girl. Maria I love you)
I love you

My Maria (oh Maria I love you girl. Oh my Maria)
Maria (oh Maria I love you girl. Maria I love you)
I love you",My Maria ,My Maria,1996,2,3:29,Track 'A',Single,True
1,2,Alan Jackson,"Have a little love on a little honeymoon
You got a little dish and you got a little spoon
A little bitty house and a little bitty yard
A little bitty dog and a little bitty car

Well, it's alright to be little bitty
A little hometown or a big old city
Might as well share, might as well smile
Life goes on for a little bitty while

A little bitty baby in a little bitty gown
It'll grow up in a little bitty town
A big yellow bus and little bitty books
It all started with a little bitty look

Well, it's alright to be little bitty
A little hometown or a big old city
Might as well share, might as well smile
Life goes on for a little bitty while

(Yeah)

You know you got a job and a little bitty check
A six pack of beer and television set
Little bitty world goes around and around
Little bit of silence and a little bit of sound

A good ole boy and a pretty little girl
Start all over in a little bitty world
Little bitty plan and a little bitty dream
It's all part of a little bitty scheme

It's alright to be little bitty
A little hometown or a big old city
Might as well share, might as well smile
Life goes on for a little bitty while

It's alright to be little bitty
A little hometown or a big old city
Might as well share, might as well smile
Life goes on for a little bitty while

(Whoooo)...",Little Bitty,Little Bitty,1996,2,2:36,Track 'A',Single,True
2,3,Faith Hill,"Baby, tell me where'd you ever learn
To fight without saying a word
Then waltz back into my life
Like it's all gonna be all right
Don't you know how much it hurts...

When we don't talk
When we don't touch
When it doesn't feel like we're even in love
It matters to me

When I don't know what to say
Don't know what to do
Don't know of it really even matters to you
How can I make you see
It matters to me

Baby I still don't understand
The distance between a woman and a man
So tell me how far it is
And how you can love like this
'Cause I'm not sure I can

When we don't talk
When we don't touch
When it doesn't feel like we're even in love
It matters to me

When I don't know what to say
Don't know what to do
Don't know if it really even matters to you
How can I make you see
It matters to me

Oh and I don't know what to say
Don't know what to do
Don't know if it really even matters to you
How can I make you see
It matters ------ to me

Oh it matters to me",It Matters To Me,It Matters To Me,1995,10,,Track '3',Album,True
3,4,John Michael Montgomery,"You say you want to be friends
That's a newly sharpened blade
That's a dagger to the heart
Of the promises we made
That's a chapter full of pain
A season full of rain
A dark and stormy night
Spent all alone

Friends
Get scattered by the wind
Tossed upon the waves
Lost for years on end
Friends
Slowly drift apart
They give away their hearts
Maybe call you
Now and Then
But you wanna be
Just friends

You say you love me very much
And you'll always hold me dear
Those are the sweetest words
I never want to hear
What's a love without desire
A flame without a fire
Can't warm me late at night
When I need you most

Friends
Get scattered by the wind
Tossed upon the waves
Lost for years on end
Friends
Slowly drift apart
They give away their hearts
Maybe call you
Now and Then
But you wanna be
Just friends

Friends
Slowly drift apart
They give away their hearts
Maybe call you now and then

Darling can't you see
This is killing me
We could never be 
Just Friends",Cowboy Love,John Michael Montgomery,1995,10,,Track '1',Album,True
4,5,Shania Twain,"Mind if I sit down?
Can I buy you a round?
Haven't seen your face before
Are you new in town?
It's the same old line
Oh, every time
Are you here alone?
Can I take you home? 

Now every woman sees
With every ""pretty please""
There's a pair of lyin' eyes
And a set of keys
He says come be a star
In the back seat of my car
Oh, but baby, slow down
You're goin' way too far 

Let me make it clear
To you my dear
If you're not in it for love
If you're not willin' to give it all you got
If you're not in it for life
If you're not in it for love
Let me make it clear to you my dear
If you're not in it for love
I'm outta here! 

""Babe, I can change your world
Make you a cover girl
Yeah, you could be a beauty queen
In a magazine""
""Now tell me, what's your sign?""
Why always the same old line?
""I'll be number 409
If you change your mind""

Let me make it clear
To you my dear 
If you're not in it for love
If you're not willin' to give it all you got
If you're not in it for life
If you're not in it for love
Let me make it clear to you my dear
If you're not in it for love
I'm outta here! 

If you're not in it for love
If you're not willin' to give it all you got
If you're not in it for life
If you're not in it for love
Let me make it clear to you my dear
If you're not in it for love
I'm outta here! 

If you're not in it for life
If you're not in it for love
I'm outta here!",(If You're Not In It For Love) I'm Outta Here! (Dance Mix),(If You're Not In It For Love) I'm Outta Here! (& Remixes),1996,5,4:40,Track '3',Maxi-Single,True
5,6,Tim McGraw,"Her hat is hanging by the door
The one she bought in Mexico
It blocked the wind-it stopped the rain
She'd never leave that one
So, she can't be really gone

The shoes she bought on Christmas Eve
She laughed and said they called her name
It's like they're waiting in the hall
For her to slip them on
So, she can't be really gone

I don't know when she'll come back
She must intend to come back
I've seen the error of my ways
Don't waste the tears on me
What more proof do you need
Just look around the room
So much of her remains

Her book is lying on the bed
The two of hearts to mark her page
Now, who could ever walk away
At chapter twenty-one
So, she can't be really gone

Just look around the room
So much of her remains

Her book is lying on the bed
The two of hearts to mark her page
Now, who could ever walk away
With so much left undone
So, she can't be really gone

No, she can't be really gone",Can't Be Really Gone (Album Version),Can't Be Really Gone,1995,2,3:20,Track 'A',Single,True
6,7,Clint Black,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?",Desperado,Like The Rain,1996,2,4:02,Track 'B1',Single,True
7,8,LeAnn Rimes,"Standing on the border
Looking out into the great unknown
I can feel my heart beating faster as I step out on my own
There's a new horizon and the promise of favorable wind
I'm heading out tonight, traveling light
I'm gonna start all over again

And buy a one way ticket on a west-bound train
See how far I can go (Because I can)
I'm gonna go out dancing in the pouring rain
And talk to someone I don't know (Because I can)
I will face the world around me
Knowing that I'm strong enough to let you go
And I will fall in love again
Because I can

Gonna climb the mountain
And look the eagle in the eye
I won't let fear clip my wings and tell me how high I can fly
How could I have ever believed
That love had to be so blind
When freedom was waiting, down at the station
All I had to do was make up my mind

And buy a one way ticket on a west bound train
See how far I can go (Because I can)
I'm gonna go out dancing in the pouring rain
And talk to someone I don't know (Because I can)
I will face the world around me
Knowing that I'm strong enough to let you go
And I will fall in love again
Because I can

Well, I have walked through the fire
And crawled on my knees through the valley of the shadow of doubt
Then the truth came shining like a light on me and now I can see my way out

I'm gonna buy a one way ticket on a west-bound train
See how far I can go (Because I can)
I'm gonna go out dancing in the pouring rain
And talk to someone I don't know
I'm gonna buy a one way ticket on a west bound train
Gonna have my breakfast with some pink champagne
I'm gonna sail the ocean, I'm gonna spread my wings
Gonna climb that mountain
Gonna do everything",One Way Ticket (Because I Can),One Way Ticket,1996,3,3:42,Track '1',Single,True
8,9,Deana Carter,"He was working through college 
On my grandpa's farm
I was thirsting for knowledge 
And he had a car
Yeah, I was caught somewhere between a woman and a child
One restless summer we found love growing wild
On the banks of the river on a well-beaten path
It's funny how those memories they last

Like strawberry wine and seventeen
The hot July moon saw everything
My first taste of love, oh bittersweet
The green on the vine
Like strawberry wine

I still remember 
When thirty was old
My biggest fear was September 
When he had to go
A few cards and letters and one long distance call
We drifted away like the leaves in the fall
But year after year I come back to this place
Just to remember the taste

Of strawberry wine and seventeen
The hot July moon saw everything
My first taste of love, oh bittersweet
The green on the vine
Like strawberry wine

The fields have grown over now
Years since they've seen a plow
There's nothing time hasn't touched
Is it really him or the loss of my innocence
I've been missing so much
Yeah

Strawberry wine and seventeen
The hot July moon saw everything
My first taste of love, oh bittersweet
And green on the vine
Like strawberry wine
And seventeen
The hot July moon saw everything
My first taste of love, oh bittersweet
The green on the vine
Like strawberry wine
Strawberry wine
Strawberry wine",,,,,,,,
9,10,Tracy Lawrence,"Sister cries out, from her baby bed
Brother runs in, with feathers on his head
Mama's in her room learnin' how to sew
Daddy's drinkin' beer, listenin' to the radio
Hank Williams sings Kaw-Liga and Dear John
Time marches on, time marches on

Sister's using rouge, and clear complexion soap
Brother's wearin' beads and he smokes a lot of dope
Mama is depressed barely makes a sound
Daddy's got a girlfriend in another town
Bob Dylan sings like a Rolling Stone
Time marches on, time marches on

South moves north, north moves south
A star is born, a star burns out
The only thing, that stays the same is
Everything changes, everything changes

Sister calls herself, a sexy grandma
Brother's on a diet, for high cholesterol
Mama's out of touch with reality
Daddy's in the ground beneath the maple tree
As the angels sing an old Hank Williams song
Time marches on, time marches on

Time marches on, time marches on
Time marches on, Time marches on",Time Marches On,Time Marches On,1996,10,3:03,Track '3',Album,True
