,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Tim McGraw,"He said, ""I was in my early 40s
With a lot of life before me
When a moment came that stopped me on a dime
I spent most of the next days
Looking at the X-rays
And talking 'bout the options, and talking 'bout
Sweet time
I asked him when it sank in
That this might really be the real end
How's it hit ya when you get that kind of news
Man, what'd ya do""
And he said

""I went skydiving
I went Rocky Mountain climbing
I went 2.7 seconds on a bull named Fumanchu
And I loved deeper
And I spoke sweeter
And I gave forgiveness I've been denying""
And he said, ""Someday, I hope you get the chance
To live like you were dyin'""

He said, ""I was finally the husband
That most the time I wasn't
And I became a friend a friend would like to have
And all of a sudden goin' fishin'
Wasn't such an imposition
And I went three times that year I lost my dad
Well, I, I finally read the Good Book
And I took a good long hard look
At what I'd do if I could do it all again
And then

I went skydiving
I went Rocky Mountain climbing
I went two point seven seconds on a bull named
Fumanchu,
And I loved deeper
And I spoke sweeter
And I gave forgiveness I've been denying""
And he said, ""Someday, I hope you get the chance
To live like you were dyin'""

Like, tomorrow was a gift
And you got eternity to think about what'd you do
With it
What did you do with it?
What did I do with it?
What would I do with it?

Skydiving
I went Rocky Mountain climbing
I went two point seven seconds on a bull named
Fumanchu
And I loved deeper
And I spoke sweeter
And I watched an eagle as it was flying
And he said, ""Someday, I hope you get the chance
To live like you were dyin'""
Live like you were dyin'
Live like you were dyin'
Live like you were dyin'
Live like you were dyin'",Live Like You Were Dying,Live Like You Were Dying,2004,16,,Track '5',Album,True
1,2,Gretchen Wilson,"Well, I ain't never been the Barbie Doll type
No, I can't swig that sweet champagne, I'd rather drink beer all night
In a tavern, or in a honky tonk, or on a four-wheel drive tailgate
I've got posters on my wall of Skynyrd, Kid, and Strait
Some people look down on me, but I don't give a rip
I'll stand barefooted in my own front yard with a baby on my hip

'Cause I'm a redneck woman
I ain't no high class broad
I'm just a product of my raisin'
I say, 'hey y'all and 'yee-haw'
And I keep my Christmas lights on
On my front porch all year long
And I know all the words to every Charlie Daniels song
So, here's to all my sisters out there keeping it country
Let me get a big 'hell yeah' from the redneck girls like me
Hell yeah
Hell yeah

Victoria's Secret, well their stuff's real nice
Oh, but I can buy the same damn thing on a Wal-Mart shelf half price
And still look sexy, just as sexy as those models on TV
No, I don't need no designer tag to make my man want me
Well, you might think I'm trashy, a little too hardcore
But in my neck of the woods I'm just the girl next door

Hey, I'm a redneck woman
I ain't no high class broad
I'm just a product of my raisin'
I say, 'hey y'all' and 'yee-haw'
And I keep my Christmas lights on
On my front porch all year long
And I know all the words to every Tanya Tucker song
So here's to all my sisters out there keeping it country
Let me get a big 'hell yeah' from the redneck girls like me
Hell yeah
Hell yeah

I'm a redneck woman
I ain't no high class broad
I'm just a product of my raisin'
I say, 'hey y'all' and 'yee-haw'
And I keep my Christmas lights on
On my front porch all year long
And I know all the words to every ol' Bocephus song
So here's to all my sisters out there keeping it country
Let me get a big 'hell yeah' from the redneck girls like me
Hhell yeah
Hell yeah, hell yeah
Hell yeah, hell yeah
I said hell yeah",Redneck Woman,Redneck Woman,2004,2,,Track 'A',Single,True
2,3,Kenny Chesney & Uncle Kracker,"Sun tanned toes ticklin' the sand
Cold drink chillin' in my right hand
Watchin' you sleep in the evening light
Restin' up for a long, long night.

'Cause when the sun goes down, we'll be groovin'
When the sun goes down, we'll be feelin' all right
When the sun sinks down, over the water
Everything gets hotter when the sun goes down.
Yeah!

All day long just takin' it easy
Layin' in the hammock where it's nice and breezy
Sleepin' off the night before
'Cause when the sun goes down, we'll be back for more.

When the sun goes down, we'll be groovin'
When the sun goes down, we'll be feelin' all right
When the sun sinks down, over the water
Everything gets hotter when the sun goes down.

This old guitar and my dark sunglasses
The sweet concoction is smooth as molasses
Nothing to do but breathe all day
Until the big moon rises and it's time to play.

When the sun goes down, we'll be groovin'
When the sun goes down, we'll be feelin' all right
When the sun sinks down, over the water
Everything gets hotter when the sun goes down.

When the sun goes down, we'll be groovin'
When the sun goes down, we'll be feelin' all right
When the sun sinks down, over the water
She thinks Cracker's sexy when the sun goes down.

(Other versions may have the Chorus sang 1-2-3 more times)

We'll be feelin' all right
When the sun sinks down, over the water
Uncle Kenny's hotter when the sun goes down.

When the sun goes down, we'll be groovin'
When the sun goes down.
Hey, Uncle Kenny.

When the sun goes down, over the water
Everything gets hotter when the sun goes down...",When The Sun Goes Down,When The Sun Goes Down,2003,11,4:51,Track '3',Album,True
3,4,Toby Keith,"I'm just trying to be a father
Raise a daughter and a son
Be a lover to their mother
Everything to everyone
Up and at 'em bright and early
I'm all business in my suit
Yeah, I'm dressed for success
From my head down to my boots

I don't do it for money
There's bills that I can't pay
I don't do it for the glory
I just do it anyway
Providing for our future's my responsibility
Yeah I'm real good under pressure
Being all that I can be

And I can't call in sick on Mondays
When the weekend's been too strong
I just work straight through the holidays
And sometimes all night long
You can bet that I stand ready
When the wolf growls at the door
Hey, I'm solid, hey I'm steady
Hey I'm true down to the core

And I will always do my duty
No matter what the price
I've counted up the cost
I know the sacrifice
Oh, and I don't want to die for you
But if dyin's asked of me
I'll bear that cross with honor
'Cause freedom don't come free

I'm an American soldier, an American
Beside my brothers and my sisters
I will proudly take a stand
When liberty's in jeopardy
I will always do what's right
I'm out here on the front lines
Sleep in peace tonight
American soldier
I'm an American soldier

Yeah, an American soldier, an American
Beside my brothers and my sisters
I will proudly take a stand
When liberty's in jeopardy
I will always do what's right
I'm out here on the front lines
So sleep in peace tonight
American soldier
I'm an American
An American
An American soldier",American Soldier,American Soldier,2003,2,4:23,Track 'A',Single,True
4,5,Keith Urban,"I woke up early this morning around 4a.m.
With the moon shining bright as headlights on the interstate
I pulled the covers over my head and tried to catch some sleep
But thoughts of us kept keeping me awake
Ever since you found yourself in someone else's arms
I've been trying my best to get along
But that's okay, there's nothing left to say, but

Take your records, take you freedom
Take your memories, I don't need 'em
Take your space and take your reasons
But you'll think of me
And take your cat and leave my sweater
'Cause we have nothing left to weather
In fact I'll feel a whole lot better
But you'll think of me, you'll think of me.

I went out driving, trying to clear my head
I tried to sweep out all the ruins that my emotions left
I guess I'm feeling just a little tired of this
And all the baggage that seems to still exist
It seems the only blessing I have left to my name
Is not knowing what we could have been
What we should have been.
So

Take your records, take you freedom
Take your memories, I don't need 'em
Take your space and take your reasons
But you'll think of me
And take your cat and leave my sweater
'Cause we have nothing left to weather
In fact I'll feel a whole lot better
But you'll think of me.

Someday I'm gonna run across your mind
Don't worry, I'll be fine
I'm gonna be alright
While you're sleeping with your pride
Wishing I could hold you tight
I'll be over you
And on with my life.

Take your records, take you freedom
Take your memories, I don't need 'em
And take your cat and leave my sweater
'Cause we have nothing left to weather
In fact I'll feel a whole lot better
But you'll think of me.

Take your records, take you freedom
Take your memories, I don't need 'em
Take your space and take your reasons
But you'll think of me
And take your cat and leave my sweater
'Cause we have nothing left to weather
In fact I'll feel a whole lot better
But you'll think of me, you'll think of me.

And you're gonna think of me
Oh, someday baby, someday",You'll Think Of Me (Jeremy Wheatley Remix),You'll Think Of Me,2006,2,,Track 'A',Single,True
5,6,Alan Jackson,"Remember when I was young and so were you
And time stood still, and love was all we knew
You were the first, so was I
We made love and then you cried, remember when

Remember when we vowed the vows and walked the walk
Gave our hearts, made the start and it was hard
We lived and learned, life threw curves
There was joy, there was hurt, remember when

Remember when old ones died and new were born
And life was changed, disassembled, rearranged
We came together, fell apart
And broke each others hearts, remember when

Remember when, the sound of little feet
Was the music we danced to week to week
Brought back the love, we found trust
Vowed we'd never give it up, remember when

Remember when thirty seemed so old
Now, lookin' back, it's just a steppin' stone
To where we are, where we've been
Said we'd do it all again, remember when

Remember when we said, when we turn gray
When the children grow up and move away
We won't be sad, we'll be glad
For all the life we've had 
And we'll remember when

Remember when
Remember when",Soldier Boy,Remember When,1972,30,2:39,Track 'A7',Single,True
6,7,Rascal Flatts,"I set out on a narrow way
Many years ago
Hoping I would find true love 
Along the broken road
But I got lost a time or two
Wiped my brow and kept pushing through
I couldn't see how every sign
Pointed straight to you

That every long-lost dream 
Led me to where you are
Others who broke my heart
They were like northern stars
Pointing me on my way
Into your loving arms
This much I know is true
That God blessed the broken road
That led me straight to you
Yes, He did

I think about the years I spent
Just passing through
I'd like to have the time I lost
And give it back to you
But you just smile and take my hand
You've been there, you understand
It's all part of a grander plan
That is coming true

Every long-lost dream 
Led me to where you are
Others who broke my heart
They were like northern stars
Pointing me on my way
Into your loving arms
This much I know is true
That God blessed the broken road
That led me straight to you

And now I'm just rolling home
Into my lover's arms
This much I know is true
That God blessed the broken road
That led me straight to you
That God blessed the broken road
That led me straight to you",Bless The Broken Road,Feels Like Today,2004,12,3:47,Track '2',Album,True
7,8,Tim McGraw,"Creek goes rippling by
I've been barefooting all day with my baby
Brown leaves have started falling
Leading the way

I like it best just like this
Doing nothing all the way
So let's lay down in the tall grass
Dreaming away

And all I wanna do is let it be and be with you
And watch the wind blow by
And all I wanna see is you and me go on forever
Like the clear blue sky
Slowly, there's only
You and I
And all I want to do is watch the wind blow by

Girl, you know you told me not so long ago
To let it come, then let it pass
And all your troubles and your sorrows
They won't last

So let me kiss you now, little darling
Beneath this autumn moon
Cold winds, another season
Will be here soon

And all I wanna do is let it be and be with you
And watch the wind blow by
And all I wanna see is you and me go on forever
Like the clear blue sky
Slowly, there's only
You and I
And all I want to do is watch the wind blow by
All I wanna do is watch the wind blow by
All I wanna do is watch the wind blow by",Watch The Wind Blow By,Tim McGraw And The Dancehall Doctors,2002,15,4:37,Track '6',Album,True
8,9,Keith Urban,"Changin' lanes and talkin' on the phone
Drivin' way too fast
The interstate's jammed with gunners like me
Afraid of comin' in last
But somewhere in the race we run
We're comin' undone.

Days go by
I can feel them flyin'
Like a hand out the window in the wind
Cars go by
Yeah, it's all we've been given
So you better start livin' right now
'Cause days go by.

I was on the roof just the other night
And watched the world flash by
Headlights, taillights and runnin' through the river
Of neon signs
But somewhere in the rush I felt
We're losin' ourselves.

Days go by
I can feel them flyin'
Like a hand out the window in the wind
Cars go by
Yeah, it's all we've been given
So you better start livin' right now
'Cause days go by.

We think about tomorrow, then it slips away
We talk about forever but we've only got today.

Days go by
I can feel them flyin'
Like a hand out the window as the cars go by
Yeah, it's all we've been given
So you'd better start livin'
We'd better start livin'
We'd better start livin' right now.

Days go by
I can feel them flyin'
Like a hand out the window in the wind
Cars go by
Yeah, it's all we've been given
So you better start livin' right now
'Cause days go by.

'Cause days go by
Oh, so take them by the hand
They're yours and mine
Take them by the hand
And live your life
Take them by the hand
Don't let them all fly by
Come on
Come on now
Don't you know the days go by...",You Won,Days Go By,2005,15,,Track '6',Compilation,True
9,10,Blake Shelton,"Driving down the interstate
Running thirty minutes late
Singing Margaritaville and minding my own
Some foreign-car-driving dude
With a road rage attitude
Pulled up beside me talking on his cell phone

He started yelling at me like I did something wrong
He flipped me the bird and then he was gone

Some beach, somewhere
There's a big umbrella casting shade over an empty chair
Palm trees are growing and warm breeze is blowing
I picture myself right there
On some beach, somewhere

I circled the parking lot
Trying to find a spot
Just big enough I could park my old truck
A man with a big cigar
Was getting into his car
I stopped and I waited for him to back up

But from out of nowhere a Mercedez Benz
Came cruising up and whipped right in

Some beach, somewhere 
There's nowhere to go when you've got all day to get there
There's cold margaritas and hot senoritas
Smiling with long dark hair
On some beach, somewhere

Well, I sat in that waiting room
Seemed like all afternoon
The nurse finally said Doc's ready for you
Your not gonna feel a thing
We'll give you some novacaine
That tooth will be fine in a minute or two

But he stuck that needle down deep in my gum
And he started drilling before I was numb

Some beach, somewhere
There a beautiful sunset burning up the atmosphere
There's music and dancing and lovers romancing
In the salty evening air
On some beach, somewhere
On some beach, somewhere",Some Beach ,Loaded: The Best Of Blake Shelton ,2015,15,3:24,Track 'B2',Album,True
