,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Glen Campbell,"By the time I get to Phoenix she'll be rising
She'll find the note I left hanging on her door
She'll laugh when she reads the part that says I'm leaving
'Cause I've left that girl so many times before

By the time I make Albuquerque she'll be working
She'll probably stop at lunch and give me a call
But she'll just hear that phone keep on ringing
Off the wall - that's all

By the time I make Oklahoma she'll be sleeping
She'll turn softly and call my name out low
And she'll cry just to think I'd really leave her
Though time and time I've tried to tell her so
She just didn't know I would really go",By The Time I Get To Phoenix,By The Time I Get To Phoenix,1967,11,2:43,Track 'A1',Album,True
1,2,Henson Cargill,"Skip a rope, skip a rope
Oh, listen to the children while they play
Ain't it kind of funny what the children say?
Skip a rope

Daddy hates mommy, mommy hates dad
Last night you should have heard the fight they had
It gave little sister another bad dream
She woke us all up with a terrible scream

Skip a rope, skip a rope
Oh, listen to the children while they play
Ain't it kind of funny what the children say?

Skip a rope

Cheat on your taxes don't be a fool
What was that they said about the golden rule?
Never mind the rules, just play to win
And hate your neighbor for the shade of his skin

Skip a rope, skip a rope
Oh, listen to the children while they play
Ain't it kind of funny what the children say?
Skip a rope

Stab 'em in the back that's the name of the game
And mommy and daddy are who's to blame

Skip a rope, skip a rope
Oh, listen to the children while they play
Ain't it kind of funny what the children say?
Skip a rope",Skip A Rope,Skip A Rope,1967,2,2:38,Track 'A',Single,True
2,3,Jack Greene,"All the time yes darling all the time tenderly constantly I'll love you
Every day I'll prove it every way in happiness or in loneliness I'll love you
Other arms may tempt me but don't let that bother you
For even if they tempt me I'll never be untrue
All the time yes darling all the time
Through the years through smiles or tears I'll love you
Other arms may tempt me...",All The Time,All The Time,1967,12,2:36,Track 'B6',Album,True
3,4,Jack Greene,"There goes my only possession there goes my everything
I hear footsteps slowly walking as they gently walk across a lonely floor
And a voice is softly saying darling this will be goodbye forever more
There goes my reason for living there goes the one of my dreams
There goes my only possession there goes my everything

As my mem'ry turns back the pages I can see the happy years we had before
Now the love that kept this old heart beating
Has been shattered by the closing of a door
There goes my reason for living...",There Goes My Everything,There Goes My Everything,1967,12,2:33,Track 'A1',Album,True
4,5,Sonny James,"There's a new world somewhere they call the Promised Land
And I'll be there someday if you will hold my hand
I still need you there beside me no matter what I do
For I know I'll never find another you
There is always someone to reach across they say
And you'll be my someone forever and today
I could search the whole world over until my life is through
But I know I'll never find another you
It's a long long journey so stay by my side
When I'll walk through the storm you'll be my guide be my guide
If they gave me a fortune my pleasure would be small
I could lose it all tomorrow and never mind at all
But if I should lose your love dear I don't know what I'd do
For I know I'll never find another you
But if I should lose your love dear I don't know what I'd do
For I know I'll never find another you another you another you",I'll Never Find Another You,I'll Never Find Another You,1967,2,2:23,Track 'A',Single,True
5,6,David Houston,"Daylight comes and bluebirds sing and outside the grass is green
But I don't care if sun shines or it rains
'Cause I'm happy as I can be as long as you will stand by me
And nothing beside of heaven can make me change
Cause you you mean all the world to me
You start my day with one sweet kiss
You keep my world turnin' with tenderness
And you always say the right things when I'm blue
When dark clouds gettin' to cover my sky
And temptation looks me straight in the eye
It all disappears when you say I love you
Cause you you mean all the world to me
You you mean all the world to me you you",You Mean The World To Me,You Mean The World To Me,1967,10,2:14,Track 'A1',Album,True
6,7,Eddy Arnold,"(Ben Peters)

Turn the world around the other way
Back it up and stop on yesterday
Back to before that silly fight
And give me a chance to make things right.

I said some things I didn't mean to say
Things that I am sorry for today
Down on my knees I beg you please
To turn the world around the other way.

I never really wanted us to break up
And I'm sorry for each teardrop that you cried
We need to give our hearts a chance to make up
And darling will you stand in by my side?

We'll turn the world around the other way
Back to where it started yesterday
Just take my hand together we can turn
The world around the other way.

Yes we'll turn the world around the other way
Back to where it started yesterday
Just take my hand together we can turn
The world around the other way...",Turn The World Around,Turn The World Around,1967,12,2:26,Track 'B1',Album,True
7,8,Buck Owens,"Where does the good times go?
Where does the river flow?
Where does the north wind blow?
Where does the good times go?

Lips that used to burn with love
Now are cold beneath my touch
Still I love you, Oh, so much!
Where does the good times go?

Where does the good times go?
Where does the river flow?
Where does the north wind blow?
Where does the good times go?

Arms that used to hold me tight
Eyes that shone with love so bright
Now have changed like day to night
Where does the good times go?

Where does the good times go?
Where does the good times go?",Where Does The Good Times Go,Where Does The Good Times Go / The Way That I Love You,1967,2,2:18,Track 'A',Single,True
8,9,Buck Owens,"There's a place down the street we call Sam's Place.
It starts a-jumpin' every evening when the sun goes down.
You can always find me down at Sam's Place,
For that's where the gang all hangs around.

There's ol' Shimmy Shakin' Tina
She hails from Pasadena.
She always got a big smile on her face.
There's Hootch-y-kootchy Hattie, she comes from Cincinnati,
Yeah, there's always a party at Sam's Place.

Well, they've got a swingin' band down at Sam's Place.
You can hear 'em pickin' twenty blocks away.
They're playin' country music down at Sam's Place,
From the setting sun until the break of day.

There's ol' Shimmy Shakin' Tina
She hails from Pasadena.
She always got a big smile on her face.
There's Hootch-y-kootchy Hattie, she comes from Cincinnati,
Yeah, there's always a party at Sam's Place.

And I'll meet you tonight at Sam's Place.",,,,,,,,
9,10,Eddy Arnold,"(Bob Tubert - Joe Byers)

Here comes heaven all satin and lace
Love in her heart and a smile on her face
She's the world to me
Heaven is all my heart can see.

Here comes heaven with soft golden hair
Laughing blue eyes that tell me she cares
She's my night my day
Heaven is just a kiss away.

I was so lonely till she took my hand
She lifted in my eyes and she made me understand
Here comes heaven like spring soft and warm
I'd give my life to keep her from harm.

She makes my heart sing
Here comes heaven again.
Here comes heaven again...",Here Comes Heaven,The Greatest Of Eddy Arnold,1964,26,,Track 'A3',Single,True
10,11,Bill Anderson and Jan Howard,,For Loving You,For Loving You,1967,11,2:43,Track 'A1',Album,True
11,12,Eddy Arnold,"Album: The Essential Eddy Arnold
Composer: Don Chapel

You told me that others before you
Were foolish to cause me to cry
And just when I learned to adore you
You kissed one more dream goodbye

And left me lonely again
Just like you found me
Lonely again
No arms around me

Just when I'm sure
That my heart is secure
And my tear drops are dry
With a warm glow inside
And this love of mine
Till the end of the line
That's always the time
That I'm lonely again

You told me you wanted me only
That this time and this love would last
You told me I'd never be lonely
And now you belong to the past

And I'm so lonely again
Just like you found me
Lonely again
No arms around me

Just when I'm sure
That my heart is secure
And my tear drops are dry
With a warm glow inside
And this love of mine
Till the end of the line
That's always the time
That I'm lonely again",Lonely Again,The Greatest Of Eddy Arnold,1964,26,,Track 'A6',Single,True
12,13,Lester Flatt & Earl Scruggs,Instrumental,Foggy Mountain Breakdown,Foggy Mountain Breakdown,1967,2,2:19,Track 'A',Single,True
