,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Alabama,"I'll admit I could feel it 
The first time that we touched
The look in your eyes
Said you felt as much
But I'm not a man
Who falls so easily 
It's best that you know
Where you stand with me

I will give you my heart
Faithful and true
And all the love it can hold
That's all I can do 
But I've thought about 
How long I'll love you
And it's only fair that you know
Forever's as far as I'll go

When there's age around my eyes
And gray in your hair
And it only takes a touch to recall
The love we've shared
I won't take for granted
That you know my love is true
Each night in your arms
I will whisper to you

I will give you my heart
Faithful and true
And all the love it can hold
That's all I can do
But I've thought about
How long I'll love you
And it's only fair that you know
Forever's as far as I'll go",Forever's As Far As I'll Go,Forever's As Far As I'll Go,1990,2,3:36,Track 'A',Single,True
1,2,Garth Brooks,"Just the other night
At a hometown football game
My wife and I ran into
My old highschool flame
And as I introduced them
The past came back to me
And I couldn't help but think of
The way things used to be

She was the one
That I'd wanted for all times
And each night I'd spend prayin'
That God would make her mine
And if He'd only granted me
This wish I'd wished back then
I'd never ask for anything again

Sometimes I thank God
For unanswered prayers
Remember when you're talkin'
To the man upstairs
That just because He doesn't answer
Doesn't mean He don't care!
Some of God's greatest gifts are
Unanswered prayers...!

She wasn't quite the angel
That I remembered in my dreams
And I could tell that time had changed me,
And her eyes too, it seemed
We tried to talk about the old days
There wasn't much we could recall
I guess the Lord knows
What He's doing after all

And as she walked away
Well I looked at my wife
And then and there I thanked the good Lord
For the gifts in my life

Sometimes I thank God
For unanswered prayers
Remember when you're talkin'
To the man upstairs
And just because He may not answer
Doesn't mean He don't care!
Some of Gods greatest gifts
Are unanswered...
Some of Gods greatest gifts
Are all too often unanswered...
Some of God's greatest gifts are
Unanswered Prayers!",Unanswered Prayers,Unanswered Prayers,1990,2,3:23,Track 'A',Single,True
2,3,Alabama,"In the corner of my mind stands a jukebox
It's playin' all my favorite mem-o-ries
One by one, they take me back
To the days when you were mine
And I can't stop this jukebox in my mind.

I don't need no quarters, don't need any dime
You filled it up forever
When you said good-bye
Heaven knows I love old melodies
They were meant to ease the pain
But the kind that's playin' on my mind
Are drivin' me insane.

In the corner of my mind stands a jukebox
It's playin' all my favorite mem-o-ries
One by one, they take me back
To the days when you were mine
And I can't stop this jukebox in my mind.

Song by song, those melodies
Were meant to ease the pain
But the kind that's playin' on my mind
Are drivin' me insane;

In the corner of my mind stands a jukebox
It's playin' all my favorite mem-o-ries
One by one, they take me back
To the days when you were mine
And I can't stop this jukebox in my mind.",Fire On Fire,Jukebox In My Mind,1990,2,4:27,Track 'B',Single,True
3,4,Garth Brooks,"Blame it all on my roots, I showed up in boots
And ruined your black tie affair
The last one to know, the last one to show
I was the last one you thought you'd see there

And I saw the surprise, and the fear in his eyes
When I took his glass of champagne
And I toasted you, said honey we may be through
But you'll never hear me complain

'Cause I've got friends in low places
Where the whiskey drowns and the beer chases
My blues away
And I'll be OK

And I'm not big on social graces
Think I'll slip on down to the oasis
So I've got friends
In low places

Well I guess I was wrong, I just don't belong
But then, I've been there before
Everything's alright, I'll just say goodnight
And I'll show myself to the door

Hey, I didn't mean, to cause a big scene
Just give me an hour and then
Well I'll be as high as that ivory tower
That you're livin' in

'Cause I've got friends in low places
Where the whiskey drowns and the beer chases
My blues away
And I'll be OK

And I'm not big on social graces
Think I'll slip on down to the oasis
So I've got friends
In low places

I've got friends in low places
Where the whiskey drowns and the beer chases
My blues away
And I'll be OK

I'm not big on social graces
Think I'll slip on down to the oasis
So I've got friends
In low places

I've got friends in low places
Where the whiskey drowns and the beer chases
My blues away
And I'll be OK

I'm not big on social graces
Think I'll slip on down to the oasis
So I've got friends
In low places

I've got friends in low places
Where the whiskey drowns and the beer chases
My blues away, and I'll be OK",Friends In Low Places (Edited),Friends In Low Places (Edited) / Nobody Gets Off In This Town,1990,2,3:45,Track 'A',Single,True
4,5,George Strait,"I got sent home from school one day
With a shiner on my eye
Fightin' was against the rules and it didn't matter why
When Dad got home, I told that story just like I'd rehearsed
Then stood there on those tremblin' knees
And waited for the worst

And he said, ""Let me tell you a secret about a father's love
A secret that my daddy said was just between us""
He said, ""Daddies don't just love their children every now and then
It's a love without end, amen""
It's a love without end, amen

When I became a father in the spring of '81
There was no doubt that stubborn boy
Was just like my father's son
And when I thought my patience
Had been tested to the end
I took my daddy's secret and passed it on to him

I said, ""Let me tell you a secret about a father's love
A secret that my daddy said was just between us""
I said, ""Daddies don't just love their children every now and then
It's a love without end, amen""
It's a love without end, amen

Last night I dreamed I died and stood outside those pearly gates
When suddenly I realized there must be some mistake
If they know half the things I've done
They'll never let me in
Then somewhere from the other side I heard those words again

They said, ""Let me tell you a secret about a father's love
A secret that my daddy said was just between us
You see, daddies don't just love their children every now and then
It's a love without end, amen""
It's a love without end, amen","Love WIthout End, Amen","Love WIthout End, Amen",1990,2,3:06,Track 'A',Single,True
5,6,Garth Brooks,"Lookin' back, on the memory of
The dance we shared, beneath the stars above
For a moment, all the world was right
How could I have known, that you'd ever say goodbye

And now, I'm glad I didn't know
The way it all would end, the way it all would go
Our lives, are better left to chance
I could have missed the pain, but I'da had to miss, the dance

Holding you, I held everything
For a moment, wasn't I a king
But if I'd only known, how the king would fall
Hey, who's to say, you know I might have changed it all

And now, I'm glad I didn't know
The way it all would end, the way it all would go
Our lives, are better left to chance
I could have missed the pain, but I'da had to miss, the dance

Yes, my life, it's better left to chance
I could've missed the pain, but I'da had to miss, the dance",The Dance,Garth Brooks,1989,10,3:37,Track 'B5',Album,True
6,7,George Strait,"So upset
Nervous wreck
I can't believe she said goodbye
Sit and smoke
Cry and joke
About these tears in my eyes

How could you do what you gone and done to me
I wouldn't treat a dog the way you treated me
But that's what I get 
I've come to expect it from you

A million times
A million lines and I bought 'em every one
You don't care
You rip and tear every dream I've counted on
I guess I should thank my unlucky stars
That I'm alive
And you're the way you are
But that's what I get
I've come to expect it from you

How could you do what you gone and done to me
I wouldn't treat a dog the way you treated me
But that's what I get 
I've come to expect it from you

I could raise hell
But what the hell it wouldn't do a bit of good
I can leave
My heart agrees it seems to think that I should
There won't be no more next time doing me wrong
You'll come back this time to find that I'm gone

But that's what you get
You should expect that from me
That's what I get
I've come to expect it from you.",I've Come To Expect It From You,I've Come To Expect It From You,1990,2,3:44,Track 'A',Single,True
7,8,Clint Black,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?",Walkin' Away,Walkin' Away,1990,2,2:47,Track 'A',Single,True
8,9,Clint Black,"Move slowly to my dresser drawers, put my blue jeans on
Find my cowboy boots, my button down, strap my timepiece on my arm
Grab my billfold, my pocket change, just a mindless old routine
Then it's out the door and down the street, but it's not really me

I still comb my hair the same, still like the same cologne
And I still drive that pickup truck that the same old bank still owns
But since you left, everybody says, I'm not the guy they've known
The lights are on, but nobody's home

Cup of coffee in the mornin', it's just food for the brain 
But I've been numb since our last goodbyes, I haven't felt a thing
But now there's pains in my head and pains in my chest, and I think I'm losing my hair
I'm a half a man with half a mind, to think you didn't care 

I still comb my hair the same, still like the same cologne
And I still drive that pickup truck that the same old bank still owns
But since you left, everybody says, I'm not the guy they've known
The lights are on, but nobody's home

Since you left, everybody says, I'm not the guy they've known
The lights are on, but nobody's home
The lights are on, but nobody's home",Nobody's Home,Nobody's Home,1989,2,3:29,Track 'A',Single,True
9,10,Dan Seals,"I just had to call, cause babe I got your letter
And I understood almost every line
You said T.L.C. is what you miss from me
You want back in my arms P.D.Q.
And ooh I love this game
Them three letters by your name L.O.A. what does that say?

She said ooh baby it's so simple
I did not mean to make it hard to understand
I've been gone so long
Want you to know I miss my man oh yes I do
And that message for you
Tells you what I'm gonna do when I get home oh yeah

L.O.A. (Love on arrival)
For you (Love on arrival)
L.O.A. is what I'm gonna give to you
I've been countin' the days
I've been lonely, I've been blue (Love on arrival)
For you (Love on arrival)
And now after all this time
I've got nothing on my mind but L.O.A. (Love on arrival)
For you

I said ooh baby I do love you
And I'm always amazed the way we fit
And I T.G.I.F.
Thank God I found you when I did, oh yes I do
Them three letters by your name
I will just give you just the same
When you get home, oh yes I will

L.O.A. (Love on arrival)
For you (Love on arrival)
L.O.A. is what I'm gonna give to you
I've been countin' the days
I've been lonely, I've been blue (Love on arrival)
For you (Love on arrival)
And now after all this time
I've got nothing on my mind but L.O.A. (Love on arrival)
For you

I don't need no confirmation
I get it right here in my land
Don't need no translation
You done spelled it out with words
That I can understand L.O.A.
Ooh ooh ooh, L.O.A.

L.O.A. (Love on arrival)
For you (Love on arrival)
L.O.A. is what I'm gonna give to you
I've been countin' the days
I've been lonely, I've been blue (Love on arrival)
For you (Love on arrival)
And now after all this time
I've got nothing on my mind but L.O.A. (Love on arrival)
For you

And now after all this time
I've got nothing on my mind but L.O.A. (Love on arrival)",Love On Arrival,On Arrival,1990,10,3:49,Track 'B2',Album,True
