,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Kenny Rogers,"Evryone considered him the coward of the county
He'd never stood one single time to prove the county wrong
His mama named him Tommy; the folks just called him 'Yellow'
But something always told me they were reading Tommy wrong

He was only ten years old when his daddy died in prison
I looked after Tommy 'cause he was my brother's son
I still recall the final words my brother said to Tommy
""Son, my life is over, but yours is just begun""

""Promise me, son, not to do the things I've done
Walk away from trouble if you can
It won't mean you're weak if you turn the other cheek
I hope you're old enough to understand
Son, you dont have to fight to be a man""

There's someone for everyone, and Tommy's love was Becky
In her arms, he didn't have to prove he was a man
One day, while he was workin', the Gatlin boys came callin'
They took turns at Becky; there was three of them

Tommy opened up the door and saw his Becky cryin'
The torn dress, the shattered look was more than he could stand
He reached above the fireplace and took down his daddy's picture
As his tears fell on his daddy's face, he heard these words again:

""Promise me, son, not to do the things I've done
Walk away from trouble if you can
It won't mean you're weak if you turn the other cheek
I hope you're old enough to understand
Son, you dont have to fight to be a man""

The Gatlin boys just laughed at him when he walked into the barroom
One of them got up and met him halfway 'cross the floor
When Tommy turned around they said, ""Hey look! Ol' yellow's leavin'""
But you coulda heard a pin drop when Tommy stopped and blocked the door

Twenty years of crawlin' was bottled up inside him
He wasn't holdin nothin' back; he let 'em have it all
When Tommy left the barroom, not a Gatlin boy was standin'
He said, ""This one's for Becky,"" as he watched the last one fall
And I heard him say

""I promised you, dad, not to do the things you done
I walk away from trouble when I can
Now please dont think I'm weak, I didn't turn the other cheek
And papa, I sure hope you understand
Sometimes you gotta fight when youre a man""

Everyone considered him the coward of the county",Coward Of The County,Coward Of The County,1980,2,4:18,Track 'A',Single,True
1,2,Dolly Parton,"Tumble out of bed
And stumble to the kitchen
Pour myself a cup of ambition
And yawn and stretch and try to come to life

Jump in the shower
And the blood starts pumpin'
Out on the streets, the traffic starts jumpin'
For folks like me on the job from 9 to 5

Workin' 9 to 5
What a way to make a livin'
Barely gettin' by
It's all takin' and no givin'

They just use your mind
And they never give you credit
It's enough to drive you
Crazy if you let it

9 to 5
For service and devotion
You would think that I
Would deserve a fat promotion

Want to move ahead
But the boss won't seem to let me 
I swear sometimes that man is
Out to get me, hmmm

They let you dream
Just a watch 'em shatter
You're just a step on the boss man's ladder
But you got dreams he'll never take away

In the same boat with a lot of your friends
Waitin' for the day your ship'll come in
And the tide's gonna turn
And it's all gonna roll you away

Workin' 9 to 5
What a way to make livin'
Barely gettin' by
It's all takin' and no givin'

They just use your mind
And you never get the credit
It's enough to drive you
Crazy if you let it

9 to 5
Yeah, they got you were they want you
There's a better life
And you think about it, don't you?

It's a rich man's game
No matter what they call it
And you spend your life
Putting money in his wallet

9 to 5
Oh, what a way to make a livin'
Barely gettin' by
It's all takin' and no givin'

They just use your mind
And they never give you credit
It's enough to drive you
Crazy if you let it

9 to 5
Yeah, they got you where they want you
There's a better life
And you dream about it, don't you?

It's a rich man's game
No matter what they call it
And you spend your life
Putting money in his wallet

9 to 5",9 To 5,9 To 5,1980,2,2:42,Track 'A',Single,True
2,3,Eddie Rabbitt,"Well, I love a rainy night
I love a rainy night
I love to hear the thunder
Watch the lightning
When it lights up the sky
You know it makes me feel good

Well, I love a rainy night
It's such a beautiful sight
I love to feel the rain on my face
Taste the rain on my lips
In the moonlight shadow

Showers wash all my cares away
I wake up to a sunny day

'Cause I love a rainy night
Yeah, I love a rainy night
Well, I love a rainy night
Well, I love a rainy night, ooh ooh

I love a rainy night
I love a rainy night
I love to hear the thunder
Watch the lightning
When it lights up the sky
You know it makes me feel good

Well, I love a rainy night
It's such a beautiful sight
I love to feel the rain on my face
Taste the rain on my lips
In the moonlight shadow

Puts a song in this heart of mine
Puts a smile on my face every time

'Cause I love a rainy night
Yeah, I love a rainy night
Ooh, I love a rainy night
Yeah, I love a rainy night, ooh ooh

Showers wash all my cares away
I wake up to a sunny day

'Cause I love a rainy night
Yeah, I love a rainy night
Well, I love a rainy night
I love a rainy night

Well, I love a rainy night
You can see it in my eyes
Yeah, I love a rainy night
'Cause it makes me high
Ooh, I love a rainy night
You know I do
Yeah yeah, I love a rainy night

I love a rainy night
You can see it in my eyes
I love a rainy night
It makes me high
Well, I love a rainy night
And I love you, too
Yeah, I love a rainy night

Well, I love a rainy night
Well, I love a rainy night
I love a rainy night",I Love A Rainy Night,I Love A Rainy Night,1980,2,3:08,Track 'A',Single,True
3,4,Johnny Lee,"I spent a lifetime lookin' for you
Single bars and good time lovers were never true
Playing a fools game, hopin' to win
Tellin' those sweet lies and losin' again

I was lookin' for love in all the wrong places
Lookin' for love in too many faces
Searchin' their eyes
Lookin' for traces of what I'm dreaming of
Hoping to find a friend and lover
I'll bless the day I discover
Another heart lookin' for love

I was alone then, no love in sight
I did everything I could to get me through the night
I don't know where it started or where it might end
I turned to a stranger just like a friend

I was lookin' for love in all the wrong places
Lookin' for love in too many faces
Searchin' their eyes
Lookin' for traces of what I'm dreaming of
Hoping to find a friend and a lover
I'll bless the day I discover
Another heart lookin' for love

You came knockin' on my heart's door
You're everything I've been looking for

No more lookin' for love in all the wrong places
Lookin' for love in too many faces
Searchin' their eyes
Lookin' for traces of what I'm dreaming of
Now that I found a friend and a lover
I'll bless the day I discover
You, oh you, lookin' for love

Lookin' for love in all the wrong places
Lookin' for love in too many faces
Searchin' their eyes
Lookin' for traces of what I'm dreaming of
Now that I found a friend and a lover
I'll bless the day I discover
You, oh you, lookin' for love",Lookin' For Love,Lookin' For Love,1980,10,3:37,Track 'A1',Album,True
4,5,Don Williams,"I don't believe in superstars
Organic food and foreign cars
I don't believe the price of gold
The certainty of growing old
That right is right and left is wrong
That north and south can't get along
That east is east and west is west
And bein' first is always best.

But I believe in love
I believe in babies
I believe in mom and dad
And I believe in you.

Well, I don't believe that heaven waits
For only those who congregate
I'd like to think of God as love
He's down below
He's up above
He's watchin' people everywhere
He knows who does and doesn't care
And I'm an ordinary man
Sometimes I wonder who I am.

But I believe in love
I believe in music
I believe in magic
And I believe in you.

I know with all my certainty
What's goin' on with you and me
Is a good thing
It's true
I believe in you.

I don't believe virginity
Is as common as it used be
In workin' days and sleepin' nights
That black is black and white is white
That Superman and Robinhood
Are still alive in Hollywood
That gasoline's in short supply
The risin' cost of gettin' by

But I believe in love
I believe in old folks
I believe in children
I believe in you.

I believe in love
I believe in babies
I believe in mom and dad
And I believe in you.",I Believe In You,I Believe In You,1980,10,4:04,Track 'A5',Album,True
5,6,Conway Twitty,,,,,,,,,
6,7,Willie Nelson,"On the road again
Just can't wait to get on the road again
The life I love is makin' music with my friends
And I can't wait to get on the road again

On the road again
Goin' places that I've never been
Seein' things that I may never see again
And I can't wait to get on the road again

On the road again
Like a band of gypsies, we go down the highway
We're the best of friends
Insisting that the world be turnin' our way
And our way

Is on the road again
Just can't wait to get on the road again
The life I love is makin' music with my friends
And I can't wait to get on the road again

On the road again
Like a band of gypsies, we go down the highway
We're the best of friends
Insisting that the world be turnin' our way
And our way

Is on the road again
Just can't wait to get on the road again
The life I love is makin' music with my friends
And I can't wait to get on the road again
And I can't wait to get on the road again",On The Road Again,On The Road Again / Jumpin' Cotton Eyed Joe,1980,2,2:39,Track 'A',Single,True
7,8,Waylon Jennings,"Just the good ol' boys
Never meanin' no harm.
Beats all you never saw
Been in trouble with the law
Since the day they was born

Staightnin' the curves
Flatnin the hills
Someday the mountain might get 'em
But the law never will

Makin' their way
The only way they know how
That's just a little bit more
Than the law will allow.

Makin' their way
The only way they know how
That's just a little bit more
Than the law will allow.

I'm a good ol' boy
You know my momma loves me
But you don't understand
They keep a showin my hands and not my face on TV

Oh yeah",Theme From The Dukes Of Hazzard (Good Ol' Boys),Theme From The Dukes Of Hazzard (Good Ol' Boys),1980,2,2:06,Track 'A',Single,True
8,9,Willie Nelson,"I grew up a-dreamin' of bein' a cowboy,
And Lovin' the cowboy ways.
Pursuin' the life of my high-ridin' heroes,
I burned up my childhood days.
I learned of all the rules of the modern-day drifter,
Don't you hold on to nothin' too long.
Just take what you need from the ladies, then leave them,
With the words of a sad country song.
My heroes have always been cowboys.
And they still are, it seems.
Sadly, in search of, but one step in back of,
Themselves and their slow-movin' dreams.

Cowboys are special with their own brand of misery,
From being alone too long.
You could die from the cold in the arms of a nightmare,
Knowin' well that your best days are gone.
Pickin' up hookers instead of my pen,
I let the words of my years fade away.
Old worn-out saddles, and 'old worn-out memories,
With no one and no place to stay.

My heroes have always been cowboys.
And they still are, it seems.
Sadly, in search of, but one step in back of,
Themselves and their slow-movin' dreams.

Sadly, in search of, but one step in back of,
Themselves and their slow-movin' dreams.",My Heroes Have Always Been Cowboys,My Heroes Have Always Been Cowboys / Rising Star (Love Theme),1979,2,3:02,Track 'A',Single,True
9,10,Oak Ridge Boys,"Mary took to running with a travelling man
Left her momma crying with her head in her hands
Such a sad case, so broken hearted.
She say, momma, gotta go, gotta get outta here
Gotta get outta town, tired of hanging around
I gotta roll on between the ditches.
Just an ordinary story 'bout the way things go
'Round and around, nobody knows
But the highway goes on forever,
That ol' highway rolls on forever.

Lord, she never would've done it if she hadn't got drunk
If she hadn't started running with a travelling man
If she hadn't started taking those crazy chances,
She say, daughter, let me tell you 'bout the travelling' kind
Everywhere he's goin' such a very short time
He'll be long gone before you know it
He'll be long gone before you know it.

She say, never have I known it when it felt so good
Never have I knew it when I knew I could
Never have I done it when it looked so right
Leaving Louisiana in the broad daylight.

This is down in the swampland, anything goes
It's alligator bait and the bars don't close
It's the real thing down in Louisiana.
Did you ever see a Cajun when he really got mad
When he really got trouble like a daughter goin' bad
It gets real hot down in Louisiana.
The stranger better move it or he's gonna get killed
He's gonna have to get it or a shotgun will
It ain't no time for lengthy speeches
There ain't no time for lengthy speeches.

She say, never have I known it when it felt so good
Never have I knew it when I knew I could
Never have I done it when it looked so right
Leaving Louisiana in the broad daylight.

She say, never have I known it when it felt so good
Never have I knew it when I knew I could
Never have I done it when it looked so right
Leaving Louisiana in the broad daylight.

Just an ordinary story 'bout the way things go
'Round and around nobody knows
But the highway goes on forever,
That old highway rolls on forever.",Leaving Louisiana In The Broad Daylight,Leaving Louisiana In The Broad Daylight,1979,2,2:57,Track 'A',Single,True
