,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Alan Jackson,"Well, way down yonder on the Chattahoochee
It gets hotter than a hoochie coochie
We laid rubber on the Georgia asphalt
We got a little crazy but we never got caught

Down by the river on a Friday night
Pyramid of cans in the pale moonlight
Talkin' 'bout cars and dreamin' 'bout women
Never had a plan, just a-livin' for the minute

Yeah, way down yonder on the Chattahoochee
Never knew how much that muddy water meant to me
But I learned how to swim and I learned who I was
A lot about livin' and a little 'bout love

Ya ha

Well, we fogged up the windows in my old Chevy
I was willin' but she wasn't ready
So I settled for a burger and a grape sno-cone
I dropped her off early but I didn't go home

Down by the river on a Friday night
A pyramid of cans in the pale moonlight
Talkin' 'bout cars and dreamin' 'bout women
Never had a plan, just a livin' for the minute

Yeah, way down yonder on the Chattahochee
Never knew how much that muddy water meant to me
But I learned how to swim and I learned who I was
A lot about livin' and a little 'bout love

Yeah, way down yonder on the Chattahochee
Never knew how much that muddy water meant to me
But I learned how to swim and I learned who I was
A lot about livin' and a little 'bout love

A lot about livin' and a little 'bout love

Ya he

That's right",Chattahoochee,Chattahoochee / I Don't Need The Booze (To Get A Buzz On),1993,2,,Track 'A',Single,True
1,2,John Michael Montgomery,"I like the feel of your name on my lips
And I like the sound of your sweet gentle kiss.
The way that your fingers run through my hair,
And how your scent lingers even when you're not there.

And I like the way your eyes dance when you laugh,
And how you enjoy your two hour bath.
And how you convinced me to dance in the rain
With everyone watching like we were insane.

But I love the way you love me.
Strong and wild, slow and easy.
Heart and soul, so completely.
I love the way you love me.

I like to imitate ol' Jerry Lee
An' watch you roll your eyes when I'm slightly off-key.
And I like the innocent way that you cry
At sappy old movies you've seen hundreds of times

But I love the way you love me.
Strong and wild, slow and easy.
Heart and soul, so completely.
I love the way you love me.

And I could list a million things I love to like about you,
But they all come down to one reason I could never live without you.

But I love the way you love me.
Strong and wild, slow and easy.
Heart and soul, so completely.
I love the way you love me.",I Love The Way You Love Me,I Love The Way You Love Me,1993,2,4:01,Track 'A',Single,True
2,3,George Strait,"Says she's had enough of me, I've had enough of her too. 
I might as well go on and set her free, she's already turned me loose. 
No fault, no blame, nobody done no wrong- 
That's just the way it sometimes goes. 
Sometimes two people just don't get along, it's time to hit the road. 

Goodbye, farewell, so long, vaya con dios. 
Good luck, wish you well, take it slow. 
Easy come girl, easy go. 

We tried to work it out a hundred times, ninety- nine it didn't work. 
I think it's best we put it all behind before we wind up getting hurt. 
No hard feelings darling, no regrets, 
No tears and no broken hearts. 
Call it quits, calling off all bets, it just wasn't in the cards. 

Goodbye, farewell, so long, vaya con dios. 
Good luck, wish you well, take it slow. 
Easy come girl, easy go. 

Easy come girl, easy go. 
Vaya con dios, good luck, 
Easy come, easy go.","Easy Come, Easy Go",Easy Come Easy Go,1993,10,3:02,Track '3',Album,True
3,4,Tracy Lawrence,"She knows every move that a man could make
She knows every trick in the book
She knows how to give
She knows how to take
'Cause so many times she's been taken a fool
By those

Alibis and lyin' eyes and all the best lines
Lord knows she's heard them all
She's been cheated on and pushed around and left alone
Lord knows what I've put her through
And boy you can bet if a move can be made
She knows how to make one on you

She once thought that love wasn't just a game
Her feelings once came from the heart
One day I gave her a wedding ring
In one night I tore all those feelings apart
With my

Alibis and lyin' eyes and all the best lines
Lord knows she's heard them all
She's been cheated on and pushed around and left alone
Lord knows what I've put her through
And boy you can bet if a move can be made
She knows how to make
Her own

Alibis and lyin' eyes and all the best lines
Lord knows she's heard them all
She's been cheated on and pushed around and left alone
Lord knows what I've put her through
And boy you can bet if a move can be made
She knows how to make one on you",Alibis,Alibis,1993,10,3:03,Track '5',Album,True
4,5,Dwight Yoakam,"Maybe someday I'll be strong
Maybe it won't be long
I'll be the one who's tough, yeah,
You'll be the one who's got it rough
It won't be long and
Maybe I'll be real strong.

Maybe I'll do things right
Maybe I'll start tonight
You'll learn to cry like me
Baby, let's just wait and see
Maybe I'll start tonight
And do things right.

You'll control me
Oh, so boldly
Rule me till I'm free
Till the pain that shakes me
Finally makes me
Get up off of my knees.

Yeah, yeah, yeah, yeah

Maybe I'll be fast as you
Maybe I'll break hearts too
But, I think that you'll slow down
When your turn to hurt comes around
Maybe I'll break hearts
And be as fast as you.

Uh
--- Instrumental ---

You'll control me
Oh, so boldly
Rule me till I'm free
Till the pain that shakes me
Finally makes me
Get up off of my knees.

Maybe I'll be fast as you
Maybe I'll break hearts too
I think that you'll slow down
When your turn to hurt comes around
Maybe I'll break hearts
And be as fast as you.

Maybe I'll break hearts
And be as fast as you.

Ah, Sucker

---Long Instrumental to fade ---",Fast As You (Single Edit),Fast As You,1993,2,3:29,Track 'A',Single,True
5,6,Sawyer Brown,"Well, I've been called a self-made man
Girl, don't you believe it's true
I know exactly how lucky I am
When I'm gettin' this close to you
It's high time I'm giving some praise
To those that got me where I am today

I got to thank mama for the cookin'
Daddy for the whuppin'
The Devil for the trouble that I get into
I got to give credit when credit is due
I thank the bank for the money
Thank God for you

A strong heart and a willing hand
That's the secret to my success
A good woman, I try to be a good man
A good job, Lord, I know I've been blessed
I'm just a part of a greater plan
It doesn't matter which part I am

I got to thank mama for the teachin'
Daddy for the preachin'
The Devil for the trouble that I get into
I got to give credit when credit is due
I thank the bank for the money
And God for you",Thank God For You,Best Of Sawyer Brown,2008,10,,Track '7',Album,True
6,7,Patty Loveless,"You've got a thing or two 
To learn about me baby
'Cause I ain't taking it no more
And I don't mean maybe
You don't know right from wrong
Well the love we had is gone

So blame it on your 
Lying, cheating
Cold, dead beatin'
Two timing, double dealing
Mean, mistreatin'
Lovin' heart

Well all I wanted was to be
Your one and only
And all I ever got from you
Was bein' lonely
Now that dream is laid to rest
'Cause you have failed the test

So blame it on your 
Lying, cheating
Cold, dead beatin'
Two timing, double dealing
Mean, mistreatin'
Lovin' heart

Are you heading for a heartache
Oh yeah
Gonna get a bad break 
Oh yeah
You made a bad mistake
Oh yeah
Well, you're never gonna find 
Another love like mine

Someone's gonna do you 
Like you've done me honey
And when she does you
Like she'll do you 
It ain't funny
You'll need some sympathy
But don't be calling me

Hey blame it on your 
Lying, cheating
Cold, dead beatin'
Two timing, double dealing
Mean, mistreatin'
Lovin' heart

Are you heading for a heartache?
Oh yeah
Gonna get a bad break 
Oh yeah
You made a bad mistake
Oh yeah
Well, you're never gonna find 
Another love like mine

Someone's gonna do you 
Like you've done me honey
And when she does you
Like she'll do you 
It ain't funny
You'll need some sympathy
But don't be calling me

Hey blame it on your 
Lying, cheating
Cold, dead beatin'
Two timing, double dealing
Mean, mistreatin'
Lovin' heart

Yeah blame it on your 
Lying, cheating
Cold, dead beatin'
Two timing, double dealing
Mean, mistreatin
Lovin' heart",Blame It On Your Heart,Blame It On Your Heart,1993,2,3:32,Track 'A',Single,True
7,8,Joe Diffie,"They were farm kids way down in Dixie 
Met in high school in the sixties
Everyone knew it was love from the start
One July, in the midnight hour 
He climbed upon the water tower
Stood on the rail and painted a ten-foot heart

In John Deere green
On a hot summer night 
He wrote ""Billy Bob loves Charlene""
In letters three-foot high
And the whole town said that he should have used red
But it looked good to Charlene 
In John Deere green

They settled down on eighty acres
Raising sweet corn, kids, and tomatoes
They went together like a hand and a glove
On a clear day from their front yard 
If you look and know what to look for
Off to the east you can still read his words of love

In John Deere green
On a hot summer night 
He wrote ""Billy Bob loves Charlene""
In letters three-foot high
And the whole town said the boy should have used red
But it looked good to Charlene 
In John Deere green

Now more than once the town has discovered 
Painting over it ain't no use
There ain't no paint in the world that'll cover it
The heart keeps showing through

In John Deere green
On a hot summer night 
He wrote ""Billy Bob loves Charlene""
In letters three-foot high
And the whole town said the fool should have used red
But it looked good to Charlene 
In John Deere green

Ah, paint it green boy

In John Deere green
On a hot summer night 
He wrote ""Billy Bob loves Charlene""
In letters three-foot high
And the whole town said the boy should have used red
But it looked good to Charlene 
In John Deere green

John Deere green",John Deere Green (Edit) ,John Deere Green (Edit) / Somewhere Under The Rainbow,1993,2,3:36,Track 'A',Single,True
8,9,Toby Keith,"I'll bet you never heard ol' Marshall Dillon say
""Miss Kitty have you ever thought of runnin' away?
Or settlin' down, would you marry me
If I asked you twice and begged you pretty please?""

She'd of said yes in a New York minute
They never tied the knot, his heart wasn't in it
He just stole a kiss, as he rode away
He never hung his hat up at Kitty's place

I should've been a cowboy
I should've learned to rope and ride
Wearin' my six-shooter
Ridin' my pony on the cattle drive
Stealin' the young girl's hearts
Just like Gene and Roy
Singin' those camp fire songs
Oh, I should've been a cowboy

I might have had a side-kick with a funny name
Runnin' wild through the hills chasin' Jesse James
Or ending up on the brink of danger
Ridin' shot-gun for the Texas rangers

Go west young man, haven't you been told
California's full of whiskey, women and gold
Sleepin' all night, beneath the desert stars
With a dream in my eye, and a prayer in my heart

I should've been a cowboy
I should've learned to rope and ride
Wearin' my six-shooter
Ridin' my pony on the cattle drive
Stealin' the young girl's hearts
Just like Gene and Roy
Singin' those camp fire songs
Oh, I should've been a cowboy

I should've been a cowboy
I should've learned to rope and ride
I'd be wearin' my six-shooter
Ridin' my pony on the cattle drive
Stealin' the young girl's hearts
Just like Gene and Roy
Singin' those camp fire songs
Oh, I should've been a cowboy
Yeah, I should've been a cowboy
I should've been a cowboy",Should've Been A Cowboy,Should've Been A Cowboy,1998,2,3:30,Track 'A',Single,True
9,10,Lorrie Morgan,"Sir if you don't mind I'd rather be alone
From the moment I walked in tonight
You've been coming on
If I've told you once, I've told you twice
I'm just here to unwind
I'm not interested in romance
Or what you have in mind

What part of 'No' don't you understand
To put it plain and simple
I'm not into one night stands
I'd be glad to explain
If it's too hard to comprehend
What part of 'No' don't you understand

I appreciate the drink, and the rose was nice of you
I don't mean to be so mean
But I don't think I'm getting through
I don't need company, no, I don't wanna dance
So what part of 'No' don't you understand",What Part Of No,What Part Of No,1992,2,2:43,Track 'A',Single,True
