,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Alan Jackson & Jimmy Buffett,,It's Five O'Clock Somewhere,It's Five O'Clock Somewhere / That'd Be Alright,2003,2,3:49,Track 'A',Single,True
1,2,Sheryl Crow,"I would have given you all of my heart
But there's someone who's torn it apart
And he's taken just all that I had
But if you want, I'll try to love again
Baby, I'll try to love again but I know

The first cut is the deepest
Baby, I know the first cut is the deepest
But when it comes to being lucky he's cursed
And when it comes to loving me he's worst

I still want you by my side
Just to help me dry the tears that I've cried
And I'm sure gonna give you a try
If you want, I'll try to love again, try
Baby, I'll try to love again but I know

Oh, the first cut is the deepest
Baby, I know the first cut is the deepest
But when it comes to being lucky he's cursed
And when it comes to loving me he's worst

I still want you by my side
Just to help me dry the tears that I've cried
But I'm sure gonna give you a try
'Cause if you want, I'll try to love again
Baby, I'll try to love again but I know

Oh, the first cut is the deepest
Baby, I know the first cut is the deepest
But when it comes to being lucky he's cursed
And when it comes to loving me he's worst

Oh, the first cut is the deepest
Baby, I know the first cut is the deepest
Try to love again",The First Cut Is The Deepest,The Very Best Of Sheryl Crow,2003,17,3:45,Track '4',Compilation,True
2,3,Mark Wills,"I saw Star Wars at least 8 times
Had the Pac-Man pattern memorized
And I've seen the stuff they put inside,
Stretch Armstrong
Yeah

I was Roger Staubach back in my back yard
Had a shoebox full of baseball cards
And a couple of Evil Kinevil scars
On my right arm
Well, I was a kid when Elvis died
And my mama cried

It was 1970-something
In the world that I grew up in
Farrah Faucett hair-do days
Bell bottoms and 8-track tapes
Lookin' back now I can see me
And oh man, did I look cheesy
But I wouldn't trade those days for nothin'
Aww, It was 1970-something

It was the dawning of a new decade
We got our first microwave
Dad broke down and finally shaved
Them old sideburns off
I took the stickers off of my Rubix cube
Watched MTV all afternoon
My first love was Daisy Duke
In them cut off jeans
A Space Shuttle fell out of the sky
And the whole world cried

It was 1980-something
In the world that I grew up in
Skating rinks and Black Trans Ams
Big hair and parachute pants
Lookin' back now I can see me
And oh man, did I look cheesy
But I wouldn't trade those days for nothin'
Aww, It was 1980-something

Now I got a mortgage and an SUV
But all this responsibility
Makes me wish sometimes
Sometimes...

It was 1980-something
In the world that I grew up in
Skating rinks and Black Trans Ams
Big hair and parachute pants
Lookin' back now I can see me
And oh, man did I look cheesy
But I wouldn't trade those days for nothin'
Aww, It was 1980-something

1970-something
Aw, it was 19-Something",19 Somethin',19 Somethin',2002,2,3:16,Track 'A',Single,True
3,4,Darryl Worley,"I hear people saying we don't need this war
I say there's some things worth fighting for
What about our freedom and this piece of ground
We didn't get to keep 'em by backing down
They say we don't realize the mess we're getting in
Before you start your preaching let me ask you this my friend

Have you forgotten how it felt that day?
To see your homeland under fire
And her people blown away
Have you forgotten when those towers fell?
We had neighbors still inside going through a living hell
And you say we shouldn't worry 'bout bin Laden
Have you forgotten?

They took all the footage off my TV
Said it's too disturbing for you and me
It'll just breed anger that's what the experts say
If it was up to me I'd show it everyday
Some say this country's just out looking for a fight
After 9/11 man I'd have to say that's right

Have you forgotten how it felt that day?
To see your homeland under fire
And her people blown away


Have you forgotten when those towers fell?
We had neighbors still inside going through a living hell
And you say we shouldn't worry 'bout bin Laden
Have you forgotten?

I've been there with the soldiers
Who've gone away to war
And you can bet that they remember
Just what they're fighting for

Have you forgotten how it felt that day?
To see your homeland under fire
And her people blown away
Have you forgotten when those towers fell?
We had neighbors still inside going through a living hell
And you say we shouldn't worry 'bout bin Laden
Have you forgotten?

Have you forgotten all the people killed?
Some went down like heroes in that Pennsylvania field
Have you forgotten about our Pentagon?
All the loved ones that we lost and those left to carry on
Don't you tell me not to worry about bin Laden
Have you forgotten?

Have you forgotten?
Have you forgotten?",Have You Forgotton?,Have You Forgotten?,2003,16,4:00,Track '1',Single,True
4,5,Kenny Chesney,"All he could think about was, I'm too young for this
Got my whole life ahead, hell I'm just a kid myself
How'm I gonna raise one

All he could see were his dreams, goin' up in smoke
So much for ditchin' this town, and hangin' out on the coast
Oh well, those plans are long gone, and he said

There goes my life
There goes my future, my everything
Might as well kiss it all goodbye
There goes my life

A couple years of up all night and a, few thousand diapers later
That mistake he thought he made, covers up the refrigerator
Oh yeah, he loves that little girl

Mamas waitin' to tuck her in, as she fumbles up those stairs
She smile back at him, draggin' that teddy bear
Sleep tight, blue eyes and bouncin' curls, and he smiles 

There goes my life
There goes my future, my everything
I love you, daddy good night
There goes my life

She has that Honda loaded down, with Abercrombie clothes
And fifteen pairs of shoes, and his American Express
He checked the oil slammed the hood, and said you're good to go
She hugged 'em both, and headed off to the West Coast

And he cried

There goes my life
There goes my future, my everything
I love you
Baby good bye

There goes my life

There goes my life

Baby, good bye
Baby, good bye

There goes my life",There Goes My Life,When The Sun Goes Down,2003,11,5:03,Track '1',Album,True
5,6,Toby Keith with Willie Nelson,"Well a man come on the 6 o'clock news
Said somebody's been shot, somebody's been abused
Somebody blew up a building
Somebody stole a car
Somebody got away
Somebody didn't get too far yeah
They didn't get too far

Grandpappy told my pappy, back in my day, son
A man had to answer for the wicked that he done
Take all the rope in Texas
Find a tall oak tree, round up all of them bad boys
Hang them hign in the street for all the people to see that

Justice is the one thing you should always find
You got to saddle up your boys
You got to draw a hard line
When the gun smoke settles we'll sing a victory tune
We'll all meet back at the local saloon
We'll raise up our glasses against evil forces
Singing whiskey for my men, beer for my horses

We got too many gangsters doing dirty deeds
We've got too much corruption, too much crime in the streets
It's time the long arm of the law put a few more in the ground
Send 'em all to their maker and he'll settle 'em down
You can bet he'll set 'em down 'cause

Justice is the one thing you should always find
You got to saddle up your boys
You got to draw a hard line
When the gun smoke settles we'll sing a victory tune
We'll all meet back at the local saloon
We'll raise up our glasses against evil forces
Singing whiskey for my men, beer for my horses

Justice is the one thing you should always find
You got to saddle up your boys
You got to draw a hard line
When the gun smoke settles we'll sing a victory tune
We'll all meet back at the local saloon
We'll raise up our glasses against evil forces
Singing whiskey for my men, beer for my horses",Beer For My Horses,Unleashed,2002,13,3:23,Track '5',Album,True
6,7,Blake Shelton,"My brother said that I was rotten to the core.
I was the youngest child so I got by with more.
I guess she was tired by the time I came along.
She'd laugh until she cried I could do no wrong.
She would always save me because I was her baby.

I worked a factory in Ohio, a shrimp boat in the Bayou,
I drove a truck in Birmingham. I Turned 21 in Cincinnati,
I called home to mom and daddy, I said Your boy is now a man.
She said I don't care if you're 80, you'll always be my baby.

She loved that photograph of our whole family.
She'd always point us out for all her friends to see.
That's Greg he's doing great, he really loves his job.
Ronnie with his 2 kids, how 'bout that wife he's got.
And that one's kinda crazy, but that one is my baby.

I got a call in Alabama, said come on home to Louisiana 
And come as fast as you can fly.
'Cause your momma really needs you, and says she's got to see you, 
She might not make it through the night.
The whole way I drove 80, so she could see her baby.

She looked like she was sleepin' and my family had been weepin' 
By the time that I got to her side.
And I knew that she'd been taken and my heart it was breakin', 
I never got to say goodbye.

I softly kissed that lady and cried just like a baby...",The Baby,The Dreamer,2003,10,,Track '2',Album,True
7,8,Dierks Bentley,"Becky was a beauty from south Alabama
Her daddy had a heart like a nine-pound hammer
Think he even did a little time in the slammer
What was I thinkin'?

She snuck out one night and met me by the front gate
Her daddy came out wavin' that twelve gauge
We tore out the drive he peppered my tailgate
What was I thinkin'?

Oh, I knew there'd be hell to pay
But that crossed my mind a little too late...
'Cause I was...

Thinkin' 'bout a little white tank top sittin' right
There in the middle by me
I was thinkin' 'bout a long kiss man just gotta get
Goin' where a night might lead
I know what I was feelin'
But what was I thinkin'... what was I thinkin'

By the county line the cops were nippin' on our heels
Pulled off the road and kicked it in four-wheel
Shut off the lights and tore through the corn field
What was I thinkin'?

Out the other side she was hollerin' faster
Took a dirt road and had the radio blastin'
Hit the honky tonk for a little close dancin'
What was I thinkin'?

Oh, I knew there'd be hell to pay
But that crossed my mind a little too late...
'Cause I was...

Thinkin' 'bout a little white tank top sittin' right
There in the middle by me
I was thinkin' 'bout a long kiss man just gotta get
Goin' where a night might lead
I know what I was feelin'
But what was I thinkin'... what was I thinkin'

When a mountain of a man with a ""born to kill"" tattoo
Tried to cut in I knocked out his front tooth
We ran outside hood-slidin' like Bo Duke
What was I thinkin'?

I finally got her home at a half past too late
Her daddy's in a lawn chair sittin' on the driveway
Put it in park as he started my way
What was I thinkin', oh what was I thinkin'

Then she gave a come-and-get-me grin
And like a bullet we were gone again... 'cause I was

Thinkin' 'bout a little white tank top sittin' right
There in the middle by me
I was thinkin' 'bout a long kiss man just gotta get
Goin' where a night might lead
I know what I was feelin'
But what was I thinkin'... what was I thinkin'",What Was I Thinkin',Dierks Bentley,2003,13,4:20,Track '1',Album,True
8,9,Toby Keith,"We got winners
We got losers
Chain-smokers and boozers
We got yuppies
We got bikers
We got thirsty hitchhikers
And the girls next door dress up like movie stars
Hmmm, Hmmm, Hmmm, Hmmm, Hmmm, I love this bar

We got cowboys
We got truckers
Broken-hearted fools and suckers
And we got hustlers
We got fighters
Early-birds and all-nighters
And the veterans talk about their battle scars
Hmm, hmm, hmm, hmm, hmm
I love this bar

I love this bar
It's my kind of place
Just walkin' through the front door
Puts a big smile on my face
It ain't too far
Come as you are
Hmm, hmm, hmm, hmm, hmm
I love this bar

I've seen short skirts
We've got high-techs
Blue-collared boys and rednecks
And we got lovers
Lots of lookers
I've even seen dancing girls and hookers
And we like to drink our beer from a mason jar
Hmmm, Hmmm, Hmmm, Hmmm, Hmmm, I love this bar
(Yes I do)

I like my truck
(I like my truck)
And I like my girlfriend
(I like my girlfriend)
I like to take her out to dinner
I like a movie now and then

But I love this bar
It's my kind of place
Just toein' around the dance floor
Puts a big smile on my face
No cover charge
Come as you are
Hmm, hmm, hmm, hmm, hmm
I love this bar
Hmm, hmm, hmm, hmm, hmm
I just love this old bar

And we've got divorcees
A big bouncer man
An old jukebox and a real bad band
We've got waitresses
And we've got bar flies
A dumb-ass and a wise guy
If you get too drunk just sleep out in your car
Reason number 672 why
Hmm, hmm, hmm, hmm, hmm
I love this bar

Play it on out boy
Take it on home

Hmm, hmm, hmm, hmm, hmm
I love this bar
I just love it",I Love This Bar (Album Version),I Love This Bar,2003,2,5:36,Track 'B',Single,True
9,10,Lonestar,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?",,,,,,,,
