,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Tim McGraw,"I spent 48 dollars last night at the county fair
I throwed out my shoulder, but I won her that teddy bear
She's got me sayin' ""Sugar Pie"", ""Honey"", ""Darlin'"", and ""Dear""
I ain't seen the Braves play a game all year
I'm gonna get fired if I don't get some sleep
My long lost buddies say I'm getting in too deep

But I like it, I love it, I want some more of it
I try so hard, I can't rise above it
I don't know what it is 'bout that little gal's lovin'
But I like it, I love it, I want some more of it

My mamma and daddy tried to teach me courtesy
But it never sank in till that girl got a hold of me
Now I'm holdin' umbrellas, and opening up doors
I'm taking out the trash and I'm sweeping my floor
I'm crossing my fingers, and counting every kiss
Prayin' that it keeps goin' on like this

'Cause I like it, I love it, I want some more of it
I try so hard, I can't rise above it
I don't know what it is 'bout that little gal's lovin'
But I like it, I love it, I want some more of it

I gotta wash my truck
And dress up
Pick her up to watch TV
When she sits down on the sofa
She'll move a little closer
She can't get enough of me

And I like it, I love it, I want some more of it
I try so hard, I can't rise above it
I don't know what it is 'bout that little gal's lovin'
But I like it, I love it, I want some more of it

Come on, baby
You know what I like

Yeah, I like that

Hey! Don't forget to turn out the lights!","I Like It, I Love It, I Want Some More Of It (Club Mix)","I Like It, I Love It, I Want Some More Of It",1995,2,3:54,Track 'B',Single,True
1,2,Faith Hill,"Baby, tell me where'd you ever learn
To fight without saying a word
Then waltz back into my life
Like it's all gonna be all right
Don't you know how much it hurts...

When we don't talk
When we don't touch
When it doesn't feel like we're even in love
It matters to me

When I don't know what to say
Don't know what to do
Don't know of it really even matters to you
How can I make you see
It matters to me

Baby I still don't understand
The distance between a woman and a man
So tell me how far it is
And how you can love like this
'Cause I'm not sure I can

When we don't talk
When we don't touch
When it doesn't feel like we're even in love
It matters to me

When I don't know what to say
Don't know what to do
Don't know if it really even matters to you
How can I make you see
It matters to me

Oh and I don't know what to say
Don't know what to do
Don't know if it really even matters to you
How can I make you see
It matters ------ to me

Oh it matters to me",It Matters To Me,It Matters To Me,1995,10,,Track '3',Album,True
2,3,Tim McGraw,"I was standing, at the end of my rainbow
With nowhere to go, and no pot of gold in sight
All my wishes, were just way too much to hope for
But when I saw you, I knew I'd seen the light

And not a moment too soon, without a minute to spare
You touched my heart, when I didn't have a prayer
In my darkest hour, with my world filled with gloom
Your sweet love saved me, not a moment too soon

I used to think, that love would never find me
And the one who cares, was lost somewhere in time
But when you found me, I knew I'd found forever
You rescued me, just before I crossed the line

And not a moment too soon, without a minute to spare
You touched my heart, when I didn't have a prayer
In my darkest hour, with my world filled with gloom
Your sweet love saved me, not a moment too soon
Your sweet love saved me, not a moment too soon

Oh-oh yeah
Not a moment too soon, yeah",Not A Moment Too Soon,Not A Moment Too Soon,1994,10,3:46,Track '5',Album,True
3,4,Aaron Tippin,"Maybe we'll never be seen together
At night on a crowded street
I may never reach across your body
To kill the light when you're asleep

Maybe I'll never watch you dressing
I won't sound too familiar on the phone
But I can touch your hand accidentally
And take that moment home

That's as close as I'll get to loving you
Even though there's nothing else I'd rather do
I can dream, I can hope, I can scheme but still I know
That's as close as I'll get to loving you

I won't be there when you need holding
But I'm sure that he can pull you through
But I can sing this song to everybody
And pretend it's not about you

That's as close as I'll get to loving you
Even though there's nothing else I'd rather do
I can dream, I can hope, I can scheme but still I know
That's as close as I'll get to loving you

That's as close as I'll get to loving you
Even though there's nothing else I'd rather do
I can dream, I can hope, I can scheme but still I know
That's as close as I'll get to
Yeah, that's as close as I'll get to
That's as close as I'll get to loving you",That's As Close As I'll Get To Loving You ,That's As Close As I'll Get To Loving You / She Feels Like A Brand New Man Tonight,1995,2,,Track 'A',Single,True
4,5,Clint Black,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?",Summer's Comin',Ultimate Clint Black,2003,20,,Track '13',Compilation,True
5,6,Trisha Yearwood,"I'm not quite sure what's goin' on, but all day through and all night long,
I've been thinkin' about you,
I've been thinkin' about you.

The look in your eyes when you smile that way,
The sound of your voice sayin' my name.
I've been thinkin' about you,
Just keep thinkin' about you.

This single minded fascination I've got,
Do you call it love? If you don't then what?
All I know is I don't know what you've done,
And this train of thought ain't about to jump the track that it's on.

In the back of my mind, there's a secret place.
But the whole world knows by the smile on my face,
That I've been thinkin' about you.
Can't stop thinkin' about you.

This single minded fascination I've got,
Do you call it love? Well if you don't then what?
All I know is I don't know what you've done,
And this train of thought ain't about to jump the track that it's on.

I know it's crazy, callin' you this late,
When the only thing I wanted to say is
I've been thinkin' about you,
Oh, just keep thinkin' about you.

Oh, can't stop thinkin' about you.
I'm always thinkin' about you...
And I do love thinking about you...",Thinkin' About You,Thinkin' About You,1995,10,3:23,Track '1',Album,True
6,7,Garth Brooks,"She's sun and rain, she's fire and ice
A little crazy but it's nice
And when she gets mad, you best leave her alone
'Cause she'll rage just like a river
Then she'll beg you to forgive her
She's every woman that I've ever known

She's so New York and then L.A.
And every town along the way
She's every place that I've never been
She's makin' love on rainy nights
She's a stroll through Christmas lights
And she's everything I want to do again

It needs no explanation
'Cause it all makes perfect sense
For when it comes down to temptation
She's on both sides of the fence

No it needs no explanation
'Cause it all makes perfect sense
When it comes down to temptation
She's on both sides of the fence

She's anything but typical
She's so unpredictable
Oh but even at her worst she ain't that bad
She's as real as real can be
And she's every fantasy
Lord she's every lover that I've ever had
And she's every lover that I've never had",She's Every Woman ,She's Every Woman / The Cowboy Song,1995,2,2:53,Track 'A',Single,True
7,8,John Michael Montgomery,"Well I went down to the Grundy County Auction,
Where I saw something I just had to have.
My mind told me I should proceed with caution,
But my heart said go ahead and make a bid on that.

And I said, ""Hey pretty lady! Won't you gimme a sign?
I'd give anything to make you mine, all mine,
I'll do your biddin' and be at your beck and call.""
Yeah I've never seen anyone lookin' so fine,
Man I gotta have her, she's a one of a kind.
I'm goin' once, goin' twice,
I'm sold to the lady in the second row,
She's an eight, she's a nine, she's a ten I know.
She's got ruby red lips, blond hair, blue eyes
And I'm about to bid my heart good-bye!

Well, the auctioneer was goin' 'bout a mile a minute.
He was taking bids and callin' them out loud.
And I guess I was really gettin' in it,
'Cause I just shouted out above the crowd!

And I said, ""Hey pretty lady! Won't you gimme a sign?
I'd give anything to make you mine, all mine,
I'll do your biddin' and be at your beck and call.""
Yeah I've never seen anyone lookin' so fine,
Man I gotta have her, she's a one of a kind.
I'm goin' once, goin' twice,
I'm sold to the lady in the long black dress,
Well she won my heart, it was no contest.
With her ruby red lips, blond hair, blue eyes
Well I'm about to bid my heart good-bye!

Yeah, we found love on the auction block and I hauled her heart away.
Now we still love to laugh about, the way we met that day!

When I said ""Hey pretty lady! Won't you gimme a sign?
I'd give anything to make you mine, all mine,
I'll do your biddin' and be at your beck and call.""
Yeah I've never seen anyone lookin' so fine,
Man I gotta have her, she's a one of a kind.
I'm goin' once, goin' twice,
I'm sold to the lady in the second row,
She's an eight, she's a nine, she's a ten I know.
She's got ruby red lips, blond hair, blue eyes
And I'm about to bid my heart good-bye!",Sold (The Grundy County Auction Incident),John Michael Montgomery,1995,10,2:32,Track '2',Album,True
8,9,Clay Walker,"Been trying so hard just to talk to you
Haven't heard half of what you want me to
I hurt so bad over where we've been
Don't know how not to go back there again
I know what I want to say
Can I get it through to you now
In some other way

Like there was this woman and there was this man
There was this moment they had a chance
To hold on to what they had
How could they be so in love and still never see
Now nothing could be sadder than this woman
This woman and this man

A strangers eyes in a lovers face
See no signs of a better time and place
Have we lost the key to an open door
I feel the need to reach out to you even more
It's a circle we're going round
If we don't get us out from under it's going to take us down

Like there was this woman and there was this man
There was this moment they had a chance
To hold on to what they had
How could they be so in love and still never see
Now nothing could be sadder than this woman
This woman and this man

For all we've got to lose so much to gain
If we come this far and leave it behind
There's only you and me to blame

There was this woman and there was this man
There was this moment they had a chance to hold on to what they had
How can they be so in love and still never see
How they can get it back again
This woman and this man",This Woman And This Man,This Woman And This Man / Lose Your Memory,1994,2,3:38,Track 'A',Single,True
9,10,Shania Twain,"Spoken:
Hoo!
This is what a woman wants

Any man of mine better be proud of me
Even when I'm ugly, still better love me
And I can be late for a date, that's fine
But he'd better be on time

Any man of mine'll say it fits just right
When last year's dress is just a little too tight
And anything I do or say better be okay
When I have a bad hair day

And if I change my mind
A million times
I wanna hear him say
Yeah (yeah), yeah (yeah), yeah
I like it that way

Any man of mine better walk the line
Better show me a teasin' squeezin' pleasin' kinda time
I need a man who knows how the story goes
He's gotta be a heartbeatin' fine treatin'
Breathtakin' earthquakin' kind
Any man of mine

Well, any man of mine better disagree
When I say another woman's lookin' better than me
And when I cook him dinner and I burn it black
He'd better say, ""Mmm, I like it like that"", yeah

And if I change my mind
A million times
I wanna hear him say
Yeah (yeah), yeah (yeah), yeah
I like it that way

Any man of mine better walk the line
Better show me a teasin' squeezin' pleasin' kinda time
I need a man who knows how the story goes
He's gotta be a heartbeatin' fine treatin'
Breathtakin' earthquakin' kind
Any man of mine, hoo!

Let me hear you say ""Yeah (yeah), yeah (yeah), yeah
I like it that way""

(Any man) (Any man)
Any man of mine better walk the line
Better show me a teasin' squeezin' pleasin' kinda time
I need a man who knows how the story goes
He's gotta be a heartbeatin' fine treatin'
Breathtakin' earthquakin' kind
Any man of mine, hoo!

Spoken:
Then you gotta shimmy, and shake
Make the earth quake
Kick, turn, stomp, stomp, then you jump
Heel to toe, do-si-do
'Til your boots wanna break
'Til your feet and your back ache
Keep it movin' 'til you just can't take anymore
Come on everybody, on the floor
A-one two, a-three four
Hup, two, hup, woo!
If you wanna be a man of mine, that's right
Hoo!
This is what a woman wants",Any Man Of Mine,Any Man Of Mine,1995,4,4:07,Track '1',Single,True
10,11,Ty Herndon,"I thought I knew, the girl so well
If she was sad I couldn't tell
I missed the point, I missed the signs
So if she's gone the fault is mine,
I know I know, a whole lot of little things
And even though
I could list them 1 by 1,
She would still be gone

Her eyes are blue
Her hair was long
64, she was born in Baton Rouge
Her favorite song is "" In My Life""
I memorized her every move
I knew her books, her car, her clothes
But I paid no attention to what mattered most

I never ask, she never said
And when she cried, I turned my head
She dreamed her dreams, behind closes doors
That made them easy to ignore
And I know I know
I missed the forest for the trees
And all I have to show
Oh but she walked out the door
Cold facts and nothing more

Her eyes are blue
Her hair was long
64, she was born in Baton Rouge
Her favorite song is "" In My Life""
I memorized her every move
I knew her books, her car, her clothes
But I paid no attention to what mattered most
Her eyes are blue
Her hair was long
64, she was born in Baton Rouge
Her fathers tall
Her mothers gone
She moved out west when she was 2
The way she laughed
The way she loved
Oh my God what did I do?",What Mattered Most,What Mattered Most,1995,10,3:40,Track '1',Album,True
11,12,Alan Jackson,"If you wanna drive a big limousine
I'll buy the longest one you've ever seen
I'll buy you tall, tall trees and all the waters in the seas
I'm a fool, fool, fool for you

If you wanna own a great big mansion
Well I'll give it my utmost attention
I'll buy you tall, tall trees and all the waters in the seas
I'm a fool, fool, fool for you

Well, I'm a fool over you
It may take a while but I'll prove that it's true

Well, if it's lovin' you want well I've got it
If it's money you want then I'll get it
I'll buy you tall, tall trees and all the waters in the seas
I'm a fool, fool, fool for you

If you wanna take a trip across the ocean
I'll travel anywhere you take a notion
I'll buy you tall, tall trees and all the waters in the seas
I'm a fool, fool, fool for you

If you wanna own a great big mansion
Well, I'll give it my utmost attention
I'll buy you tall, tall trees and all the waters in the seas
I'm a fool, fool, fool for you
Yeah, I'm a fool over you
It may take a while but I'll prove it's true

Well, if it's lovin' you want then I've got it
If it's money you want then I'll get it
I'll buy you tall, tall trees and all the waters in the seas
I'm a fool, fool, fool for you

Yeah, I'm a fool, fool, fool for you","Tall, Tall Trees","Tall, Tall Trees",1995,2,2:27,Track 'A',Single,True
12,13,John Michael Montgomery,"They read you Cinderella
You hoped it would come true
That one day your Prince Charming
Would come rescue you

You like romantic movies, you never will forget
The way you felt when Romeo kissed Juliet
And all this time that you've been waiting
You don't have to wait no more

I can love you like that
I will make you my world
Move heaven and earth
If you were my girl
I would give you my heart
Be all that you need
Show you you're everything
That's precious to me
If you give me a chance
I can love you like that

I never make a promise I don't intend to keep
So when I say forever, forever's what I mean
I'm no Casanova, but I swear this much is true
I'll be holdin' nothin' back when it comes to you
You dream of love that's everlasting
Well baby open up your eyes

I can love you like that
I will make you my world
Move heaven and earth
If you were my girl
I would give you my heart
Be all that you need
Show you you're everything
That's precious to me
If you give me a chance
I can love you like that

You want tenderness (tenderness)
I've got tenderness
And I see through to the heart of you
If you want a man (want a man) who understands
Well you don't have to look very far

I can love you like that
I will make you my world
Move heaven and earth
If you were my girl
I would give you my heart
Be all that you need
Show you you're everything
That's precious to me
If you give me a chance
I can love you like that",I Can Love You Like That,John Michael Montgomery,1995,10,3:55,Track '3',Album,True
