,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Crystal Gayle,"Don't know when I've been so blue
Don't know what's come over you
You've found someone new
And don't it make my brown eyes blue

I'll be fine when you're gone
I'll just cry all night long
Say it isn't true
And don't it make my brown eyes blue

Tell me no secrets, tell me some lies
Give me no reasons, give me alibis
Tell me you love me and don't let me cry
Say anything but don't say goodbye

I didn't mean to treat you bad
Didn't know just what I had
But, honey, now I do
And don't it make my brown eyes
Don't it make my brown eyes
Don't it make my brown eyes blue

Don't it make my brown eyes
Don't it make my brown eyes
Don't it make my brown eyes blue

Don't it make my brown eyes
Don't it make my brown eyes
Don't it make my brown eyes blue",Don't It Make My Brown Eyes Blue,Don't It Make My Brown Eyes Blue,1977,2,2:37,Track 'A',Single,True
1,2,Bonnie Tyler,"It's a heartache
Nothing but a heartache
Hits you when it's too late
Hits you when you're down

It's a fool's game
Nothing but a fool's game
Standing in the cold rain
Feeling like a clown

It's a heartache
Nothing but a heartache
Love him till your arms break
Then he lets you down

It ain't right, with love to share
When you find he doesn't care for you
It ain't wise to need someone
As much as I depended on you

Ah, it's a heartache
Nothing but a heartache
Hits you when it's too late
Hits you when you're down

It's a fool's game
Nothing but a fool's game
Standing in the cold rain
Feeling like a clown

It ain't right, with love to share
When you find he doesn't care for you
It ain't wise to need someone
As much as I depended on you

Ah, it's a heartache
Nothing but a heartache
Love him till your arms break
Then he lets you down

It's a fool's game
Standing in the cold rain
Feeling like a clown

It's a heartache
Love him till your arms break
Then he lets you down

It's a fool's game",It's A Heartache,It's A Heartache,1977,2,3:31,Track 'A',Single,True
2,3,Kenny Rogers,"In a bar in Toledo across from the depot
On a bar stool she took off her ring
I thought I'd get closer, so I walked on over
I sat down and asked her name
When the drinks finally hit her, she said, ""I'm no quitter
But I finally quit livin' on dreams
I'm hungry for laughter and here ever after
I'm after whatever the other life brings""

In the mirror I saw him and I closely watched him
I thought how he looked out of place
He came to the woman who sat there beside me
He had a strange look on his face
The big hands were calloused; he looked like a mountain
For a minute I thought I was dead
But he started shakin', his big heart was breakin'
He turned to the woman and said

""You picked a fine time to leave me, Lucille
With four hungry children and a crop in the field
I've had some bad times, lived through some sad times
But this time your hurtin' won't heal
You picked a fine time to leave me, Lucille""

After he left us, I ordered more whisky
I thought how she'd made him look small
From the lights of the bar room to a rented hotel room
We walked without talking at all
She was a beauty, but when she came to me
She must have thought I'd lost my mind
I couldn't hold her, 'cause the words that he told her
Kept comin' back time after time

""You picked a fine time to leave me, Lucille
With four hungry children and a crop in the field
I've had some bad times, lived through some sad times
But this time your hurtin' won't heal
You picked a fine time to leave me, Lucille""

You picked a fine time to leave me, Lucille
With four hungry children and a crop in the field
I've had some bad times, lived through some sad times
But this time your hurtin' won't heal
You picked a fine time to leave me, Lucille",Lucille,Lucille,1977,2,3:39,Track 'A',Single,True
3,4,Dolly Parton,"Here you come again
Just when I've begun to get myself together
You waltz right in the door
Just like you've done before
And wrap my heart 'round your little finger

Here you come again
Just when I'm about to make it work without you
You look into my eyes
And lie those pretty lies
And pretty soon I'm wonderin' how I came to doubt you

All you got to do is smile that smile
And there go all my defenses
Just leave it up to you and in a little while
You're messin' up my mind and fillin' up my senses

Here you come again
Lookin' better than a body has a right to
And shakin' me up so
That all I really know
Is here you come again
And here I go

All you got to do is smile that smile
And there go all my defenses
Just leave it up to you and in a little while
You're messin' up my mind and fillin' up my senses

Here you come again
Lookin' better than a body has a right to
And shakin' me up so
That all I really know
Is here you come again
And here I go
Here I go
And here I go
And here I go

Here you come again
And here I go
Here I go
And here I go
Here I go",Here You Come Again,Here You Come Again,1977,10,2:56,Track 'A1',Album,True
4,5,Glen Campbell,"Southern nights
Have you ever felt a Southern night
Free as a breeze, not to mention the trees
Whistling tunes that you know and love so

Southern nights
Just as good even when you close your eyes
I apologize to anyone who can truly say
That he has found a better way

Southern skies
Have you ever noticed Southern skies?
Its precious beauty lies just beyond the eye
It goes running through your soul
Like the stories of old

Old man, he and his dog
They walk the old land
Every flower touched his cold hand
As he slowly walked by
Weeping willows would cry for joy, joy

Feels so good
Feels so good, it's frightening
Wish I could stop this world from fighting
La da da da da........

Mystery like this and
Many others in the trees
Blow in the night in the Southern skies

Southern nights
They feel so good, it's frightening
Wish I could stop this world from fighting
La da da da da........",Southern Nights,Southern Nights,1977,2,2:58,Track 'A',Single,True
5,6,Waylon Jennings,"I'm not here to forget you
I'm here to recall the things we used to say and do
I don't wanna get over you
I don't wanna get over you

I haunt the same places we used to go
Alone at a table for two
I don't wanna get over you
I don't wanna get over you

They oughta give me the Wurlitzer Prize
For all the silver I let slide down the slot
Playin' those songs sung blue
That help me remember you
I don't wanna get over you

A fresh roll o' quarters, same old songs
Missin' you through and through
I don't wanna get over you
I don't wanna get over you

They oughta give me the Wurlitzer Prize
For all the silver I let slide down the slot
Playin' those songs sung blue
They help me remember you
'Cause I don't wanna get over you
I don't wanna get over you
I don't wanna get over you",The Wurlitzer Prize (I Don't Want To Get Over You),The Wurlitzer Prize (I Don't Want To Get Over You) / Lookin' For A Feeling,1977,2,,Track 'A',Single,True
6,7,Eric Clapton,"There is nothing that is wrong
In wanting you to stay here with me
I know you've got somewhere to go
But won't you make yourself at home and stay with me?
And don't you ever leave

Lay down, Sally, and rest here in my arms
Don't you think you want someone to talk to?
Lay down, Sally, no need to leave so soon
I've been trying all night long just to talk to you

The sun ain't nearly on the rise
And we still got the moon and stars above
Underneath the velvet skies
Love is all that matters, won't you stay with me?
And don't you ever leave

Lay down, Sally, and rest here in my arms
Don't you think you want someone to talk to?
Lay down, Sally, no need to leave so soon
I've been trying all night long just to talk to you

I long to see the morning light
Colouring your face so dreamily
So don't you go and say goodbye
You can lay your worries down and stay with me
And don't you ever leave

Lay down, Sally, and rest here in my arms
Don't you think you want someone to talk to?
Lay down, Sally, no need to leave so soon
I've been trying all night long just to talk to you

Lay down, Sally, and rest here in my arms
Don't you think you want someone to talk to?
Lay down, Sally, there's no need to leave so soon
I've been trying all night long just to talk to you",Lay Down Sally,Lay Down Sally,1977,2,,Track 'A',Single,True
7,8,Elvis Presley,"Babe, you're getting closer
The lights are goin' dim
The sound of your breathin'
Has made the mood I'm in

All of my resistance
Is lying on the floor
Taking me to places
I've never been before

Ooh, and I can feel it
Feel it, feel it, feel it

Way down where the music plays
(Way down) Way down like a tidal wave
(Way down) Way down where the fires blaze
Way down, down, way, way on down

Ooh, my head is spinnin'
You got me in your spell,
A hundred magic fingers
On a whirling carousel

The medicine within me
No doctor could prescribe
Your love is doing something
That I just can't describe

Ooh, and I can feel it
Feel it, feel it, feel it

Way down where the music plays
(Way down) Way down like a tidal wave
(Way down) Way down where the fires blaze
Way down, down, way, way on down

Hold me again as tight as you can
I need you so, baby, let's go

(Way down) Way down where it feels so good
(Way down) Way down where I hoped it would
(Way down) Way down where I never could
Way down, down, way, way on down",Way Down,Way Down,1977,2,2:37,Track 'A',Single,True
8,9,Waylon Jennings,"The only two things in life
That make it worth livin'
Is guitars that tune good 
And firm feelin' women
I don't need my name in the marquee lights
I got my song and I got you with me tonight
Maybe it's time we got back to the basics of love

Let's go to Luckenbach, Texas
With Waylon and Willie and the boys
This successful life we're livin'
Got us feudin' like the Hatfields and McCoys
Between Hank Williams' pain songs
And Newbury's train songs
And 'Blue Eyes Cryin' in the Rain'
Out in Luckenbach, Texas
Ain't nobody feelin' no pain

So, baby, let's sell your diamond ring
Buy some boots and faded jeans and go away
This coat and tie is chokin' me
In your high society, you cry all day
We've been so busy
Keepin' up with the Jones'
Four-car garage and we're still buildin' on
Maybe it's time we got back
To the basics of love

Let's go to Luckenbach, Texas 
With Waylon and Willie and the boys
This successful life we're livin'
Got us feuding like the Hatfields and McCoys
Between Hank Williams' pain songs
And Newbury's train songs
And 'Blue Eyes Cryin' in the Rain'
Out in Luckenbach, Texas 
Ain't nobody feelin' no pain

Let's go to Luckenbach, Texas 
With Willie and Waylon and the boys
This successful life we're livin' 
Got us feuding like the Hatfields and McCoys
Between Hank Williams' pain songs
And Jerry Jeff's train songs
And 'Blue Eyes Cryin' in the Rain'
Out in Luckenbach, Texas 
There ain't nobody feelin' no pain","Luckenbach, Texas (Back To The Basics Of Love)","Luckenbach, Texas (Back To The Basics Of Love)",1977,2,3:18,Track 'A',Single,True
9,10,Ronnie Milsap,"Once in every life ... someone comes along,
And you came to me ... it was almost like a song.

You were in my heart ... right where you belong,
And we were so in love ... it was almost like a song.

January through December ... we had such a perfect year,
Then the flames became a dying ember ...
All at once you weren't here.

Now my broken heart ... cries for you each night,
And it's almost like a song ... but it's much too sad to write.

Now my broken heart ... cries for you each night,
And it's almost like a song ... but it's much to sad to write ...
Much too sad to write.",It Was Almost Like A Song,It Was Almost Like A Song,1977,10,,Track 'A3',Album,True
