,Rank,Artist,Lyrics,Title,album_name,release_date,total_tracks,duration,track_number,album_single,chart
0,1,Ned Miller,"From a Jack to a King
From loneliness to a wedding ring
I played an Ace and I won a Queen
And walked away with your heart

From a Jack to a King
With no regret I stacked the cards last night
And lady luck played her hand just right
To make me King of your heart
For just a little while
I thought that I might lose the game
Then just in time
I saw the twinkle in your eye

From a Jack to a King
From loneliness to a wedding ring
I played an Ace and I won a Queen
You made me King of your heart

For just a little while
I thought that I might lose the game
Then just in time
I saw the twinkle in your eye
From a Jack to a King
From loneliness to a wedding ring
I played an Ace and I won a Queen
You made me King of your heart",From A Jack To A King,From A Jack To A King,1962,2,2:12,Track 'A',Single,True
1,2,Claude King,"They say don't go on Wolverton Mountain if you're looking for a wife
Cause Clifton Clovers has a pretty young daughter
He's mighty handy with a gun and a knife
Her tender lips are sweeter than honey and Wolverton Mountain protects her there
The bears and the birds tell Clifton Clovers if a stranger should enter there

All of my dreams are on Wolverton Mountain I want his daughter for my wife
I'll take my chances and climb that mountain
Though Clifton Clovers he might take my life
Her tender lips are sweeter than honey...

I'm going up on Wolverton Mountain it's too lonesome down here below
It's just not right to hide his daughter from the one who loves her so
Her tender lips are sweeter than honey...
And I don't care about Clifron Clovers I'm gonna climb up on his mountain
I'm gonna take the girl I love I don't care about Clifron Clovers
I'm gonna climb up on that mountain and I'll get the one I love",Wolverton Mountain,Wolverton Mountain ,1962,2,,Track 'A',Single,True
2,3,Marty Robbins,"I told Mary about us.
I told her about our great sin.
Mary cried and forgave me,
Then Mary took me back again,
Said if I wanted my freedom
I could be free ever more.
But I don't want to be,
And I don't want to see
Mary cry anymore.

Oh, Devil Woman,
Devil Woman, let go of me.
Devil Woman, let me be,
And leave me alone.
I want to go home.

Mary is waitin' and weepin'
Down in our shack by the sea.
Even after I've hurt her,
Mary's still in love with me.
Devil Woman it's over,
Trapped no more by your charms,
'Cause I don't want to stay.
I want to get away.
Woman let go of my arm.

Oh, Devil Woman,
Devil Woman, let go of me.
Devil Woman, let me be,
And leave me alone.
I want to go home.

Devil Woman, you're evil,
Like the dark coral reef.
Like the winds that bring high tides,
You bring sorrow and grief.
You made me ashamed to face Mary.
Barely had the strength to tell.
Skies are not so black.
Mary took me back.
Mary has broken your spell.

Oh, Devil Woman,
Devil Woman, let go of me.
Devil Woman, let me be,
And leave me alone.
I want to go home.

Runnin' along by the seashore,
Runnin' as fast as I can.
Even the seagulls are happy,
Glad I'm comin' home again.
Never again will I ever
Cause another tear to fall.
Down the beach I see
What belongs to me,
The one I want most of all.

Oh, Devil Woman,
Devil Woman, don't follow me.
Devil Woman let me be,
And leave me alone.
I'm goin' back home.",Devil Woman,Devil Woman,1962,12,2:52,Track 'A1',Album,True
3,4,Patsy Cline,"I've got your picture that you gave to me
And it's signed with love, just like it used to be
The only thing different, the only thing new
I've got your picture, she's got you

I've got the records that we used to share
And they still sound the same as when you were here
The only thing different, the only thing new
I've got the records, she's got you

I've got your memory, or has it got me
I really don't know, but I know it won't let me be

I've got your class ring that proved you cared
And it still looks the same as when you gave it, dear
The only thing different, the only thing new
I've got these little things, she's got you

I've got your memory, or has it got me
I really don't know, but I know it won't let me be

I've got your class ring that proved you cared
And it still looks the same as when you gave it, dear
The only thing different, the only thing new
I've got these little things, she's got you",She's Got You,She's Got You,1962,2,2:58,Track 'A',Single,True
4,5,Marty Robbins,"I said hello to the man that tried to win your hand
A long time ago.
I tried to smile as he talked of the days
When he was your beau,

But I could see he was a-shamin' me
When he talked of his wealth and fame --
Ruby Ann took the hand of this poor, poor man,
Ain't true love a funny thing?

Big man, you got money in your hand,
So what?
You're at a table for two, but still there's only you,
Big shot!
Well, your money can't buy if your power can't hold,
You can't romance your fame --
Ruby Ann took the hand of this poor, poor man,
Ain't true love a funny thing?

Big man, you got money in your hand,
So what?
You're at a table for two, but still there's only you,
Big shot!
Well, your money can't buy if your power can't hold,
You can't romance your fame --
Ruby Ann took the hand of this poor, poor man,
Ain't true love a funny thing?
Ruby Ann took the hand of this poor, poor man,
Ain't true love a funny thing?",Ruby Ann,Ruby Ann,1962,2,,Track 'A',"7""",True
5,6,Patsy Cline,"Crazy
I'm crazy for feeling so lonely
I'm crazy
Crazy for feeling so blue

I knew
You'd love me as long as you wanted
And then some day
You'd leave me for somebody new

Worry
Why do I let myself worry?
Wondering
What in the world did I do?

Oh, crazy
For thinking that my love could hold you
I'm crazy for trying
And crazy for crying
And I'm crazy for loving you

Crazy
For thinking that my love could hold you
I'm crazy for trying
And crazy for crying
And I'm crazy for loving you",Crazy,Crazy,1990,2,,Track 'A',Single,True
6,7,Carl Butler,"Don't let me cross over

I'm tempted, my darling, to steal you away
Don't let me cross over, stay out of my way
You know that I love you and I'm not the stealing kind
But I'm faced with heartache and loves cheating line

Don't let me cross over loves cheating line
You belong to another and you'll never be mine
I know one step closer would be heaven divine
Don't let me cross over loves cheating line

I tried to forget you but what else can I do
When your eyes keep on saying that you love me too
I know if I lose you, not a dream will I have left
I don't want to cheat, dear, but I can't help myself

Don't let me cross over loves cheating line
You belong to another and you'll never be mine
I know one step closer would be heaven divine
Don't let me cross over loves cheating line",Don't Let Me Cross Over,Don't Let Me Cross Over / Wonder Drug,1962,2,,Track 'A',Single,True
7,8,Walter Brennan,"(Words and music by Crofford)

How old was I when I first seen old Rivers?
I can't remember when he weren't around
Well, that old fellow did a heap of work
Spent his whole life walking plowed ground.

He had a one-room shack not far from us
And well, we was about as poor as him
He had one old mule he called Midnight
And I'd trailed along after them.

He used to plow them rows straight and deep
And I'd come along near behind
A-bustin' up clods with my own bare feet
Old Rivers was a friend of mine.

That sun'd get high and that mule would work
Till old Rivers'd say, Whoa!
He'd wipe his brow, lean back on the reins
And talk about a place he was gonna go.

He'd say, one of these days
I'm gonna climb that mountain
Walk up there among the clouds
Where the cotton's high
And the corn's a-growin'
And there ain't no fields to plow.

--- Instrumental ---

I got a letter today from the folks back home and
They're all fine and crops is dry
Down at the end my mama said, Son
You know old Rivers died.

Just sittin' here now on this new-plowed earth
Trying to find me a little shade
With the sun beating down 'cross the field I see
That mule, old Rivers and me.

Now, one of these days
I'm gonna climb that mountain
Walk up there among the clouds
Where the cotton's high
And the corn's a-growin'
And there ain't no fields to plow.

With the sun beating down 'cross the field I see
That mule, old Rivers and me...",Old Rivers,Old Rivers,1962,10,2:43,Track 'A1',Album,True
8,9,Jim Reeves,"I filled up my pockets with money
Big trophies I've hung on my wall
My mansion sits high on the hilltop
And the world is impressed by it all.

But to me always all this glory is worries
And I've not been successful enough
For while I was thrilling the whole wide world
I was losing your love.

I forgot to kiss you
And hold to your charms
Success seems like nothing
To these empty arms.

All this time I've been gaining a treasure
That I can even speak partly of
For while I was thrilling the whole wide world
I was losing your love.

Slowly losing your love...",,,,,,,,
9,10,Jim Reeves,"Adios amigo, adios my friend,
The road we have travelled has come to an end.
When two love the same love, one love has to lose,
And it's you who she longs for, it's you she will choose.

Adios compadre, what must be must be,
Remember to name one muchacho for me.
I ride to the Rio, where my life I must spend,
Adios amigo, adios my friend.

--- Instrumental while he whistles ---

Adios compadre, let us shed no tears,
May all your maanas bring joy through the years.
Away from these memories, my life I must spend,
Adios amigo, adios my friend...

--- Instrumental while he whistles to fade ---",Adios Amigo,Adios Amigo,1962,2,2:20,Track 'A',Single,True
10,11,Bill Anderson,"(God put a song in the heart of an angel and softly she sang it to me)
I get to thinking lots of times about back when I was a lad
Of the old homeplace where I grew up of the days both good and bad
My overalls were hand-me-downs my shoes were full of holes
I used to walk four miles to school every day through the rain the sleet and the cold
I've seen the nights when my daddy would cry
For the things that his family would need
But all he ever got was a badland farm and seven hungry mouths to feed
And yet and yet our homefire never flickered once
'Cause when all these things went wrong
Mama took the hymn book down and mama sang a song
(What a friend we have in Jesus)
I've been rocked to sleep many a night to the tune of What a Friend
And come morning Rock of Ages would wake me gently once again
And when daddy would reach up and he'd take the Bible down
And he'd read it read it loud and long
And I always felt that maybe our house was blessed
When daddy would say mama sing a song
Sister left home first I guess and then Bob and then Tommy and then Dan
By then dad's hair was turning white and I had to be mama's little man
But it seemed that as daddy's back grew weak my mother's faith just grew strong
And those were the greatest days of all when mama sang a song
(Rock of ages cleft for me let me hide myself in Thee)
I guess the house is still standing I don't get to go back much anymore
No voice is left to fill those halls and no steps to grace the floor
For you see my mother sings in heaven now around God's golden throne
But I'll always believe that this world is a better place
Because one time my mama sang a song (precious mem'ries flod my soul)",Mama Sang A Song,Mama Sang A Song,1962,2,3:02,Track 'A',Single,True
11,12,Burl Ives,"A little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
But a little bitty tear let me down

You said you were leaving tomorrow
That today was our last day
I said there'd be no sorrow
That I'd laugh when you walked away

But a little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
But a little bitty tear let me down

I said I'd laugh when you left me
Pull a funny as you went out the door
That I'd have another one waiting
And I'd wave goodbye as you go

But a little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
But a little bitty tear let me down

Everything went like a planned it
And really put on quite a show
In my heart I felt I could stand it
'Til you walked with your grip through the door

Then a little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
Oh, but a little bitty tear let me down
A little bitty tear let me down",A Little Bitty Tear,A Little Bitty Tear / Shanghied,1961,2,2:02,Track 'A',Single,True
